OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1931618,LOP240110000891,3816 PIEDMONT AV,PIEDMONT AV,BCAST,BROADCAST,1704913403000,"[-122.2554074, 37.8240712]",6054685,2127278,C,09X,CCD1,01/10/24  7:03:23 PM,1704915860000,9,2,1
1931619,LOP240110000892,983 106TH AV,106TH AV,415,DISTURBING THE PEACE,1704913410000,"[-122.1725774, 37.7357381]",6078030,2094681,C,32X,CCD7,01/10/24  7:03:30 PM,1704913603000,32,5,3
1931620,LOP240110000893,SB BROADWAY OFFRP TR&SB S13,BROADWAY OFFRP TR&SB S13,HAZ,HAZARDOUS SITUATION/,1704913451000,"[-122.2264627, 37.8437752]",6063176,2134296,C,13Y,CCD1,01/10/24  7:04:11 PM,1704915591000,13,2,1
1931621,LOP240110000894,9301 SUNNYSIDE ST,SUNNYSIDE ST,911H,911 HANG-UP,1704913496000,"[-122.1656594, 37.7514488]",6080132,2100365,C,34X,CCD7,01/10/24  7:04:56 PM,1704919270000,34,5,3
1931622,LOP240110000895,3124 FRUITVALE AV,FRUITVALE AV,911H,911 HANG-UP,1704913537000,"[-122.2179243, 37.7957351]",6065320,2116761,C,21Y,CCD5,01/10/24  7:05:37 PM,1704926541000,21,3,2
1931623,LOP240110000896,1463 56TH AV,56TH AV,911C,911 HANG UP FROM CP,1704913599000,"[-122.2018321, 37.7672041]",6069780,2106289,C,27Y,CCD6,01/10/24  7:06:39 PM,1704926340000,27,4,3
1931624,LOP240110000897,1221 E 17TH ST,E 17TH ST,415SS,415 SHOT SPOTTER GUN,1704913768000,"[-122.2451326, 37.7923855]",6057437,2115687,C,17X,CCD2,01/10/24  7:09:28 PM,1704915994000,17,3,2
1931625,LOP240110000898,1708 41ST AV,41ST AV,417,BRANDISH A WEAPON,1704913821000,"[-122.2151074, 37.7752383]",6065997,2109284,C,23X,CCD5,01/10/24  7:10:21 PM,1704925527000,23,4,2
1931626,LOP240110000899,819 KENNEDY ST,KENNEDY ST,911C,911 HANG UP FROM CP,1704913903000,"[-122.2378018, 37.7777572]",6059456,2110322,C,19X,CCD5,01/10/24  7:11:43 PM,1704937046000,19,3,2
1931627,LOP240110000900,8TH ST&CAMPBELL ST,ST&CAMPBELL ST,SECCK,SECURITY CHECK,1704913976000,"[-122.2989495, 37.8073601]",6041994,2121433,C,02Y,CCD3,01/10/24  7:12:56 PM,1704919418000,2,1,1
