OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1656037,LOP221205000954,1117 60TH AV,60TH AV,MSDIAL,MISDIAL,1670266987000,"[-122.2028702, 37.7617724]",6069444,2104317,C,26Y,CCD6,12/05/22  7:03:07 PM,1670266987000,26,4,3
1656038,LOP221205000955,6639 SNAKE RD,SNAKE RD,911C,911 HANG UP FROM CP,1670267023000,"[-122.2057539, 37.8341688]",6069091,2130689,C,13Z,CCD4,12/05/22  7:03:43 PM,1670267023000,13,2,1
1656039,LOP221205000957,3320 FRUITVALE AV,FRUITVALE AV,484,THEFT,1670267220000,"[-122.216676, 37.7989368]",6065702,2117920,C,22X,CCD4,12/05/22  7:07:00 PM,1670267562000,22,3,2
1656040,LOP221205000959,MARVIN CT&SCOTIA AV,CT&SCOTIA AV,415A,DISTURBANCE-AUTO,1670267254000,"[-122.1213605, 37.755349]",6092962,2101560,C,35Y,CCD7,12/05/22  7:07:34 PM,1670276006000,35,5,3
1656041,LOP221205000961,8925 HOLLY ST,HOLLY ST,911C,911 HANG UP FROM CP,1670267681000,"[-122.1732295, 37.7508746]",6077940,2100195,C,34X,CCD7,12/05/22  7:14:41 PM,1670267681000,34,5,3
1656042,LOP221205000964,E 9TH ST&FRUITVALE AV,9TH ST&FRUITVALE AV,945A,AMBULANCE REQUESTED,1670267822000,"[-122.2278672, 37.7734863]",6062298,2108714,C,23X,CCD5,12/05/22  7:17:02 PM,1670267823000,23,4,2
1656043,LOP221205000965,704 UNION ST,UNION ST,484LP,STOLEN LICENSE PLATE,1670267827000,"[-122.2903054, 37.8043739]",6044470,2120298,C,02X,CCD3,12/05/22  7:17:07 PM,1670347669000,2,1,1
1656044,LOP221205000963,75TH AV&NEY AV,AV&NEY AV,R10851,RECOVERED STOLEN VEH,1670267817000,"[-122.1699013, 37.7691824]",6079021,2106843,C,30Y,CCD6,12/05/22  7:16:57 PM,1670306373000,30,5,3
1656045,LOP221205000970,699 BELLEVUE AV,BELLEVUE AV,929,FIRE,1670268214000,"[-122.259488, 37.8098122]",6053409,2122109,C,14X,CCD3,12/05/22  7:23:34 PM,1670268215000,14,2,2
1656046,LOP221205000968,1430 11TH AV,11TH AV,415C,415 UNKNOWN,1670268179000,"[-122.248229, 37.7917326]",6056538,2115466,C,19X,CCD2,12/05/22  7:22:59 PM,1670277986000,19,3,2
1656047,LOP221205000969,3246 E 27TH ST,E 27TH ST,945A,AMBULANCE REQUESTED,1670268201000,"[-122.2173676, 37.789324]",6065438,2114424,C,21Y,CCD5,12/05/22  7:23:21 PM,1670268201000,21,3,2
