OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1781911,LOP230622001167,5345 FOOTHILL BLVD,FOOTHILL BLVD,911C,911 HANG UP FROM CP,1687460543000,"[-122.1998063, 37.7725758]",6070401,2108234,C,27X,CCD4,06/22/23  7:02:23 PM,1687460543000,27,4,3
1781912,LOP230622001168,BIRDSALL AV&MODESTO AV,AV&MODESTO AV,415GS,415 GUNSHOTS,1687460627000,"[-122.1920695, 37.7797463]",6072684,2110804,C,28X,CCD6,06/22/23  7:03:47 PM,1687460712000,28,4,3
1781913,LOP230622001169,1101 91ST AV,91ST AV,415TH,415 THREATS,1687460676000,"[-122.1791175, 37.7469014]",6076212,2098779,C,33X,CCD7,06/22/23  7:04:36 PM,1687484070000,33,5,3
1781914,LOP230622001170,2439 DAMUTH ST,DAMUTH ST,911N,POLICE RELATED MATTE,1687460742000,"[-122.2117092, 37.8013657]",6067153,2118778,C,22X,CCD4,06/22/23  7:05:42 PM,1687460747000,22,3,2
1781915,LOP230622001172,3026 DELAWARE ST,DELAWARE ST,975,STAND BY AND PRESERV,1687460802000,"[-122.2064048, 37.795603]",6068647,2116652,P,22Y,CCD4,06/22/23  7:06:42 PM,1687460802000,22,3,2
1781916,LOP230622001174,1103 EMBARCADERO,EMBARCADERO,602L,TRESPASS:,1687460858000,"[-122.2518678, 37.7882478]",6055463,2114217,C,19X,CCD2,06/22/23  7:07:38 PM,1687511233000,19,3,2
1781917,LOP230622001173,ADELINE ST&MIDDLE HARBOR RD,ST&MIDDLE HARBOR RD,23103,RECKLESS DRIVING,1687460822000,"[-122.289756, 37.7999654]",6044598,2118690,C,02X,CCD3,06/22/23  7:07:02 PM,1687461231000,2,1,1
1781918,LOP230622001176,2120 13TH AV,13TH AV,10851,STOLEN VEHICLE,1687460972000,"[-122.2404873, 37.7945912]",6058794,2116465,C,17Y,CCD2,06/22/23  7:09:32 PM,1687477129000,17,3,2
1781919,LOP230622001175,9883 MACARTHUR BLVD,MACARTHUR BLVD,901A,VEHICLE COLLISION-PE,1687460944000,"[-122.1574189, 37.7475657]",6082489,2098909,C,32Y,CCD7,06/22/23  7:09:04 PM,1687483728000,32,5,3
1781920,LOP230622001178,EB I580&MACARTHUR BLVD,I580&MACARTHUR BLVD,23103,RECKLESS DRIVING,1687461035000,"[-122.192965, 37.7853287]",6072462,2112841,C,28X,CCD6,06/22/23  7:10:35 PM,1687461035000,28,4,3
