OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1648842,LOP221129000934,5701 FOOTHILL BLVD,FOOTHILL BLVD,484,THEFT,1669749750000,"[-122.1936295, 37.7721208]",6072183,2108036,C,29X,CCD6,11/29/22  7:22:30 PM,1669773899000,29,5,3
1649221,LOP221129000915,5518 E 16TH ST,E 16TH ST,415C,415 UNKNOWN,1669748523000,"[-122.2012511, 37.7685749]",6069957,2106785,C,27Y,CCD6,11/29/22  7:02:03 PM,1669752676000,27,4,3
1649222,LOP221129000916,73RD AV&SIMSON ST,AV&SIMSON ST,901B,VEHICLE COLLISION-UN,1669748544000,"[-122.1698211, 37.7742322]",6079077,2108681,C,29X,CCD6,11/29/22  7:02:24 PM,1669774020000,29,5,3
1649223,LOP221129000918,W GRAND AV&POPLAR ST,GRAND AV&POPLAR ST,23110,THROWING SUBSTANCE A,1669748593000,"[-122.287116, 37.8162749]",6045474,2124613,C,05X,CCD3,11/29/22  7:03:13 PM,1669749989000,5,1,1
1649225,LOP221129000919,5238 CORONADO AV,CORONADO AV,945A,AMBULANCE REQUESTED,1669748651000,"[-122.2523974, 37.8359189]",6055635,2131575,C,12Y,CCD1,11/29/22  7:04:11 PM,1669748665000,12,2,1
1649226,LOP221129000920,905 ALICE ST,ALICE ST,911H,911 HANG-UP,1669748733000,"[-122.2684892, 37.7990392]",6050735,2118236,C,03X,CCD2,11/29/22  7:05:33 PM,1669750360000,3,1,1
1649227,LOP221129000921,5604 LAVERNE AV,LAVERNE AV,933R,ALARM-RINGER,1669748775000,"[-122.1943167, 37.7726658]",6071988,2108238,C,29X,CCD6,11/29/22  7:06:15 PM,1669756485000,29,5,3
1649228,LOP221129000922,2438 12TH AV,12TH AV,911C,911 HANG UP FROM CP,1669748824000,"[-122.2384443, 37.7973709]",6059403,2117466,C,17Y,CCD2,11/29/22  7:07:04 PM,1669750396000,17,3,2
1649229,LOP221129000923,3431 FOOTHILL BLVD,FOOTHILL BLVD,945A,AMBULANCE REQUESTED,1669748889000,"[-122.2199206, 37.7826917]",6064656,2112023,C,23X,CCD5,11/29/22  7:08:09 PM,1669748892000,23,4,2
1649230,LOP221129000924,1009 66TH AV,66TH AV,933R,ALARM-RINGER,1669748998000,"[-122.1983569, 37.758827]",6070729,2103221,C,26Y,CCD6,11/29/22  7:09:58 PM,1669749012000,26,4,3
1649231,LOP221129000925,1221 51ST AV,51ST AV,945A,AMBULANCE REQUESTED,1669749059000,"[-122.2097532, 37.7673888]",6067492,2106398,C,26X,CCD5,11/29/22  7:10:59 PM,1669749059000,26,4,3
