OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1954234,LOP240129001127,7120 HOLLY ST,HOLLY ST,415F,415 FAMILY,1706555041000,"[-122.1837409, 37.7630141]",6074981,2104669,C,30X,CCD6,01/29/24  7:04:01 PM,1706582690000,30,5,3
1954235,LOP240129001129,BELLEVUE AV&PERKINS ST,AV&PERKINS ST,211,ROBBERY,1706555185000,"[-122.2559427, 37.8074726]",6054417,2121238,C,14X,CCD3,01/29/24  7:06:25 PM,1706575910000,14,2,2
1954236,LOP240129001128,2112 FRUITVALE AV,FRUITVALE AV,911C,911 HANG UP FROM CP,1706555180000,"[-122.2224383, 37.7844046]",6063940,2112660,C,21Y,CCD5,01/29/24  7:06:20 PM,1706555180000,21,3,2
1954237,LOP240129001130,1400 HIGH ST,HIGH ST,SECCK,SECURITY CHECK,1706555335000,"[-122.2147946, 37.7723313]",6066068,2108224,C,27X,CCD5,01/29/24  7:08:55 PM,1706559739000,27,4,3
1954238,LOP240129001131,2521 SEMINARY AV,SEMINARY AV,945A,AMBULANCE REQUESTED,1706555336000,"[-122.1911217, 37.7711021]",6072901,2107652,C,29X,CCD6,01/29/24  7:08:56 PM,1706555341000,29,5,3
1954239,LOP240129001132,92ND AV&B ST,AV&B ST,976,CAR STOP,1706555395000,"[-122.1770219, 37.7469313]",6076818,2098779,C,33X,CCD7,01/29/24  7:09:55 PM,1706557795000,33,5,3
1954240,LOP240129001134,5412 SAN PABLO AV,SAN PABLO AV,SECCK,SECURITY CHECK,1706555500000,"[-122.2820596, 37.8380045]",6047085,2132496,C,10X,CCD1,01/29/24  7:11:40 PM,1706568569000,10,2,1
1954241,LOP240129001136,1445 35TH AV,35TH AV,594,VANDALISM,1706555672000,"[-122.2222674, 37.7770347]",6063940,2109976,C,23X,CCD5,01/29/24  7:14:32 PM,1706559636000,23,4,2
1954242,LOP240129001137,5000 INTERNATIONAL BLVD,INTERNATIONAL BLVD,SECCK,SECURITY CHECK,1706555753000,"[-122.2087155, 37.7695079]",6067806,2107164,C,27Y,CCD5,01/29/24  7:15:53 PM,1706557147000,27,4,3
1954243,LOP240129001138,330 8TH ST,8TH ST,BTNFO,BEAT INFORMATION,1706555892000,"[-122.2708938, 37.7991294]",6050041,2118282,C,03X,CCD2,01/29/24  7:18:12 PM,1706555894000,3,1,1
