OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2034484,LOP240427000860,2662 67TH AV,67TH AV,WELCK,WELFARE CHECK -- CHE,1714244657000,"[-122.1827791, 37.767755]",6075290,2106390,A,30X,CCD6,04/27/24  7:04:17 PM,1714293646000,30,5,3
2034485,LOP240427000863,9945 B ST,B ST,10851,STOLEN VEHICLE,1714244935000,"[-122.1729609, 37.7414048]",6077956,2096746,P,32X,CCD7,04/27/24  7:08:55 PM,1714244936000,32,5,3
2034486,LOP240427000862,77TH AV&BANCROFT AV,AV&BANCROFT AV,20001,HIT & RUN RESULTING,1714244917000,"[-122.1745781, 37.7639]",6077635,2104944,C,30X,CCD6,04/27/24  7:08:37 PM,1714261091000,30,5,3
2034487,LOP240427000864,KELLER AV&SKYLINE BLVD,AV&SKYLINE BLVD,R10851,RECOVERED STOLEN VEH,1714244947000,"[-122.1286592, 37.7695068]",6090942,2106751,P,35Y,,04/27/24  7:09:07 PM,1714244947000,35,5,3
2034488,LOP240427000865,1562 MACARTHUR BLVD,MACARTHUR BLVD,945A,AMBULANCE REQUESTED,1714245005000,"[-122.2246503, 37.8008146]",6063411,2118646,C,16Y,CCD5,04/27/24  7:10:05 PM,1714245005000,16,3,2
2034489,LOP240427000866,6929 FOOTHILL BLVD,FOOTHILL BLVD,911H,911 HANG-UP,1714245204000,"[-122.175511, 37.7695176]",6077402,2106994,C,30Y,CCD6,04/27/24  7:13:24 PM,1714259358000,30,5,3
2034490,LOP240427000867,255 2ND ST,2ND ST,MP,MISSING PERSON,1714245409000,"[-122.2717732, 37.7942022]",6049753,2116493,C,01X,CCD3,04/27/24  7:16:49 PM,1714245668000,1,1,1
2034491,LOP240427000868,1453 46TH AV,46TH AV,975,STAND BY AND PRESERV,1714245460000,"[-122.2113659, 37.771156]",6067051,2107778,P,27X,CCD5,04/27/24  7:17:40 PM,1714245469000,27,4,3
2034492,LOP240427000871,1 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,911C,911 HANG UP FROM CP,1714245498000,"[-122.2822117, 37.7963137]",6046752,2117319,C,02X,CCD3,04/27/24  7:18:18 PM,1714248422000,2,1,1
2034493,LOP240427000872,59TH ST&TELEGRAPH AV,ST&TELEGRAPH AV,911C,911 HANG UP FROM CP,1714245501000,"[-122.2612411, 37.8450384]",6053144,2134943,C,11X,CCD1,04/27/24  7:18:21 PM,1714245507000,11,2,1
