OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2000293,LOP240324000979,40TH ST&MARKET ST,ST&MARKET ST,242,BATTERY,1711309821000,"[-122.273942, 37.83065]",6049378,2129774,C,06X,CCD1,03/24/24  7:50:21 PM,1711309821000,6,1,1
2000389,LOP240324000941,54TH ST&ADELINE ST,ST&ADELINE ST,CODE7,SUBJECT ARMED WITH W,1711307131000,"[-122.2756382, 37.8381452]",6048940,2132512,C,10X,CCD1,03/24/24  7:05:31 PM,1711309324000,10,2,1
2000390,LOP240324000940,1105 65TH AV,65TH AV,945A,AMBULANCE REQUESTED,1711307119000,"[-122.1981504, 37.7603902]",6070799,2103789,C,26Y,CCD6,03/24/24  7:05:19 PM,1711307119000,26,4,3
2000391,LOP240324000942,FRUITVALE AV&MACARTHUR BLVD,AV&MACARTHUR BLVD,SECCK,SECURITY CHECK,1711307138000,"[-122.2161549, 37.8003535]",6065862,2118433,C,22X,CCD4,03/24/24  7:05:38 PM,1711313921000,22,3,2
2000392,LOP240324000943,1202 E 28TH ST,E 28TH ST,10851,STOLEN VEHICLE,1711307140000,"[-122.2359798, 37.799448]",6060129,2118209,C,17Y,CCD2,03/24/24  7:05:40 PM,1711307175000,17,3,2
2000393,LOP240324000945,285 HEGENBERGER RD,HEGENBERGER RD,459AU,AUTO BURGLARY,1711307228000,"[-122.1984661, 37.7331868]",6070528,2093887,C,31X,CCD7,03/24/24  7:07:08 PM,1711308253000,31,5,3
2000394,LOP240324000944,665 45TH ST,45TH ST,970B,AUTO BLOCKING DRIVEW,1711307221000,"[-122.2677605, 37.833572]",6051183,2130804,C,10Y,CCD1,03/24/24  7:07:01 PM,1711315503000,10,2,1
2000395,LOP240324000946,6182 MAZUELA DR,MAZUELA DR,MSDIAL,MISDIAL,1711307315000,"[-122.209386, 37.8345832]",6068045,2130859,C,13Z,CCD4,03/24/24  7:08:35 PM,1711307315000,13,2,1
2000396,LOP240324000947,SEMINARY AV&SUNNYMERE AV,AV&SUNNYMERE AV,R10851,RECOVERED STOLEN VEH,1711307390000,"[-122.1737985, 37.7804329]",6077968,2110959,C,28X,CCD6,03/24/24  7:09:50 PM,1711309818000,28,4,3
2000397,LOP240324000948,48 WEBSTER ST,WEBSTER ST,415E,LOUD MUSIC,1711307401000,"[-122.2742957, 37.7943098]",6049025,2116546,C,01X,CCD3,03/24/24  7:10:01 PM,1711307958000,1,1,1
