OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1647913,LOP221128001073,700 WEBSTER ST,WEBSTER ST,901A,VEHICLE COLLISION-PE,1669673203000,"[-122.271725, 37.7985648]",6049797,2118081,C,03X,CCD2,11/28/22 10:06:43 PM,1669673327000,3,1,1
1647914,LOP221128001106,15435 SKYLINE BLVD,SKYLINE BLVD,415SS,415 SHOT SPOTTER GUN,1669676563000,"[-122.1193489, 37.7555909]",6093545,2101638,C,35Y,,11/28/22 11:02:43 PM,1669678901000,35,5,3
1648250,LOP221128000930,2979 68TH AV,68TH AV,945A,AMBULANCE REQUESTED,1669662130000,"[-122.1766924, 37.7709621]",6077070,2107526,C,29X,CCD6,11/28/22  7:02:10 PM,1669662146000,29,5,3
1648251,LOP221128000933,700 INTERNATIONAL BLVD,INTERNATIONAL BLVD,SECCK,SECURITY CHECK,1669662314000,"[-122.2521213, 37.7943008]",6055431,2116422,C,19X,CCD2,11/28/22  7:05:14 PM,1669674170000,19,3,2
1648252,LOP221128000935,1414 E 25TH STREET WY,E 25TH STREET WY,945A,AMBULANCE REQUESTED,1669662441000,"[-122.2351194, 37.795813]",6060353,2116881,C,18Y,CCD2,11/28/22  7:07:21 PM,1669662493000,18,3,2
1648253,LOP221128000934,CALDECOTT LN / TUNNEL RD,LN / TUNNEL RD,20001,HIT & RUN RESULTING,1669662420000,"[-122.2267109, 37.8499766]",6063146,2136555,C,13Y,CCD1,11/28/22  7:07:00 PM,1669662420000,13,2,1
1648254,LOP221128000939,5865 BROADWAY TER,BROADWAY TER,933R,ALARM-RINGER,1669662512000,"[-122.2370227, 37.8409229]",6060108,2133314,C,13X,CCD1,11/28/22  7:08:32 PM,1669678122000,13,2,1
1648255,LOP221128000938,10 STANTONVILLE CT,STANTONVILLE CT,245,ASSAULT W/DEADLY WEA,1669662478000,"[-122.1746337, 37.8015135]",6077864,2118638,C,13X,CCD4,11/28/22  7:07:58 PM,1669688841000,13,2,1
1648256,LOP221128000937,1605 8TH AV,8TH AV,601R,RUNAWAY,1669662467000,"[-122.2495025, 37.7949495]",6056192,2116644,C,17X,CCD2,11/28/22  7:07:47 PM,1669665893000,17,3,2
1648257,LOP221128000941,5801 TRASK ST,TRASK ST,INFO,BEAT INFORMATION,1669662574000,"[-122.1934968, 37.7705516]",6072211,2107464,C,27Y,CCD6,11/28/22  7:09:34 PM,1669662574000,27,4,3
1648258,LOP221128000940,6432 OUTLOOK AV,OUTLOOK AV,945A,AMBULANCE REQUESTED,1669662534000,"[-122.1765096, 37.7757413]",6077154,2109265,C,29X,CCD6,11/28/22  7:08:54 PM,1669662578000,29,5,3
