OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1936213,LOP240114001038,KELLER AV&SKYLINE BLVD,AV&SKYLINE BLVD,415FC,415 FIRE CRACKERS,1705259135000,"[-122.1286592, 37.7695068]",6090942,2106751,C,35Y,,01/14/24  7:05:35 PM,1705266615000,35,5,3
1936214,LOP240114001039,170 HEGENBERGER RD,HEGENBERGER RD,459AU,AUTO BURGLARY,1705259258000,"[-122.199584, 37.7306491]",6070188,2092969,C,31Y,CCD7,01/14/24  7:07:38 PM,1705259258000,31,5,3
1936215,LOP240114001040,17TH ST&MARITIME ST,ST&MARITIME ST,SECCK,SECURITY CHECK,1705259288000,"[-122.3058422, 37.817591]",6040075,2125196,C,05Y,CCD3,01/14/24  7:08:08 PM,1705263405000,5,1,1
1936216,LOP240114001041,100 BAY PL,BAY PL,911H,911 HANG-UP,1705259332000,"[-122.260515, 37.8112225]",6053122,2122628,C,14X,CCD3,01/14/24  7:08:52 PM,1705260418000,14,2,2
1936217,LOP240114001042,CHABOT RD&GOLDEN GATE AV,RD&GOLDEN GATE AV,SECCK,SECURITY CHECK,1705259348000,"[-122.2399814, 37.8509985]",6059322,2136998,C,12Y,CCD1,01/14/24  7:09:08 PM,1705266925000,12,2,1
1936218,LOP240114001043,1321 77TH AV,77TH AV,945A,AMBULANCE REQUESTED,1705259436000,"[-122.1852324, 37.7570762]",6074511,2102515,C,26Y,CCD7,01/14/24  7:10:36 PM,1705259436000,26,4,3
1936219,LOP240114001045,9320 PLYMOUTH ST,PLYMOUTH ST,415F,415 FAMILY,1705259447000,"[-122.1697324, 37.7493531]",6078941,2099623,P,34X,CCD7,01/14/24  7:10:47 PM,1705259447000,34,5,3
1936220,LOP240114001044,7607 INTERNATIONAL BLVD,INTERNATIONAL BLVD,415C,415 UNKNOWN,1705259447000,"[-122.1849411, 37.7581159]",6074602,2102892,C,26Y,CCD7,01/14/24  7:10:47 PM,1705259460000,26,4,3
1936221,LOP240114001046,5301 WENTWORTH AV,WENTWORTH AV,911C,911 HANG UP FROM CP,1705259538000,"[-122.2032391, 37.7709221]",6069398,2107650,C,27Y,CCD6,01/14/24  7:12:18 PM,1705271397000,27,4,3
1936222,LOP240114001047,14TH ST&HARRISON ST,ST&HARRISON ST,SECCK,SECURITY CHECK,1705259604000,"[-122.2676159, 37.8029253]",6051014,2119646,C,03X,CCD2,01/14/24  7:13:24 PM,1705261244000,3,1,1
