OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1995717,LOP240320001067,1946 10TH AV,10TH AV,BTNFO,BEAT INFORMATION,1710962070000,"[-122.2446204, 37.7956261]",6057607,2116864,C,17X,CCD2,03/20/24  7:14:30 PM,1710977185000,17,3,2
1995718,LOP240320001058,3521 HIGH ST,HIGH ST,945A,AMBULANCE REQUESTED,1710961389000,"[-122.1953737, 37.7871399]",6071778,2113513,C,25X,CCD4,03/20/24  7:03:09 PM,1710961389000,25,4,2
1995719,LOP240320001090,1073 76TH AV,76TH AV,415BF,415 BOYFRIEND,1710963308000,"[-122.1897218, 37.7550452]",6073200,2101799,C,26Y,CCD7,03/20/24  7:35:08 PM,1710965059000,26,4,3
1995720,LOP240320001071,74TH AV&GARFIELD AV,AV&GARFIELD AV,SECCK,SECURITY CHECK,1710962413000,"[-122.1750224, 37.7662614]",6077522,2105806,C,30Y,CCD6,03/20/24  7:20:13 PM,1710964010000,30,5,3
1995799,LOP240320001060,CLAREMONT AV&CLIFTON ST,AV&CLIFTON ST,929,FIRE,1710961602000,"[-122.2590611, 37.8410387]",6053746,2133475,C,12Y,CCD1,03/20/24  7:06:42 PM,1710961622000,12,2,1
1995800,LOP240320001061,1170 88TH AV,88TH AV,5150,MENTALLY ILL,1710961642000,"[-122.1794677, 37.7493878]",6076127,2099686,C,33X,CCD7,03/20/24  7:07:22 PM,1710979223000,33,5,3
1995801,LOP240320001073,17TH ST&SAN PABLO AV,ST&SAN PABLO AV,945A,AMBULANCE REQUESTED,1710962467000,"[-122.2722033, 37.8071497]",6049718,2121209,C,04X,CCD3,03/20/24  7:21:07 PM,1710962468000,4,1,1
1995802,LOP240320001077,7500 HAMILTON ST,HAMILTON ST,SECCK,SECURITY CHECK,1710962592000,"[-122.1897557, 37.7557753]",6073195,2102065,C,26Y,CCD7,03/20/24  7:23:12 PM,1710964540000,26,4,3
1995803,LOP240320001078,722 W MACARTHUR BLVD,W MACARTHUR BLVD,20002,HIT & RUN (PROPERTY,1710962641000,"[-122.2703396, 37.8274272]",6050396,2128581,C,06X,CCD1,03/20/24  7:24:01 PM,1710969431000,6,1,1
1995804,LOP240320001083,6100 AVENAL AV,AVENAL AV,SECCK,SECURITY CHECK,1710962996000,"[-122.1908178, 37.7691535]",6072976,2106941,C,27Y,CCD6,03/20/24  7:29:56 PM,1710967500000,27,4,3
