OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1981581,LOP240221001136,2919 FRUITVALE AV,FRUITVALE AV,MPRISK,MISSING PERSON AT RI,1708542181000,"[-122.2190408, 37.7932769]",6064981,2115872,A,21Y,CCD5,02/21/24  7:03:01 PM,1708544128000,21,3,2
1981582,LOP240221001140,4423 MORAGA AV,MORAGA AV,910,PROWLER OUTSIDE,1708542327000,"[-122.2451629, 37.8293158]",6057679,2129132,C,09X,CCD1,02/21/24  7:05:27 PM,1708562112000,9,2,1
1981583,LOP240221001139,40TH ST&MARKET ST,ST&MARKET ST,943,FIGHT,1708542318000,"[-122.273942, 37.83065]",6049378,2129774,C,06X,CCD1,02/21/24  7:05:18 PM,1708542921000,6,1,1
1981584,LOP240221001137,2780 26TH AV,26TH AV,945A,AMBULANCE REQUESTED,1708542295000,"[-122.2217686, 37.7923911]",6064187,2115564,C,21X,CCD5,02/21/24  7:04:55 PM,1708542296000,21,3,2
1981585,LOP240221001138,59TH ST&TELEGRAPH AV,ST&TELEGRAPH AV,911C,911 HANG UP FROM CP,1708542304000,"[-122.2612411, 37.8450384]",6053144,2134943,C,11X,CCD1,02/21/24  7:05:04 PM,1708542366000,11,2,1
1981586,LOP240221001141,5735 CLAREMONT AV,CLAREMONT AV,911C,911 HANG UP FROM CP,1708542344000,"[-122.2555135, 37.8455413]",6054801,2135095,C,12Y,CCD1,02/21/24  7:05:44 PM,1708542344000,12,2,1
1981587,LOP240221001142,5726 CLAREMONT AV,CLAREMONT AV,901A,VEHICLE COLLISION-PE,1708542399000,"[-122.2554382, 37.8454326]",6054822,2135055,C,12Y,CCD1,02/21/24  7:06:39 PM,1708618688000,12,2,1
1981588,LOP240221001143,255 8TH AV,8TH AV,415C,415 UNKNOWN,1708542401000,"[-122.2585975, 37.7888838]",6053523,2114485,C,19X,CCD2,02/21/24  7:06:41 PM,1708542478000,19,3,2
1981589,LOP240221001144,8755 SKYLINE BLVD,SKYLINE BLVD,945A,AMBULANCE REQUESTED,1708542406000,"[-122.1882286, 37.8301634]",6074125,2129139,C,13Z,CCD4,02/21/24  7:06:46 PM,1708542406000,13,2,1
1981590,LOP240221001145,5835 COLLEGE AV,COLLEGE AV,911C,911 HANG UP FROM CP,1708542451000,"[-122.2520725, 37.8465099]",6055801,2135429,C,12Y,CCD1,02/21/24  7:07:31 PM,1708542475000,12,2,1
