OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1945759,LOP240122001105,5000 INTERNATIONAL BLVD,INTERNATIONAL BLVD,SECCK,SECURITY CHECK,1705950464000,"[-122.2087155, 37.7695079]",6067806,2107164,C,27Y,CCD5,01/22/24  7:07:44 PM,1705951800000,27,4,3
1945760,LOP240122001106,2280 35TH AV,35TH AV,243E,BATTERY ON CO-HABITA,1705950489000,"[-122.2142611, 37.78565]",6066311,2113070,C,24X,CCD5,01/22/24  7:08:09 PM,1705991115000,24,4,2
1945761,LOP240122001109,27TH ST&TELEGRAPH AV,ST&TELEGRAPH AV,901B,VEHICLE COLLISION-UN,1705950561000,"[-122.2679247, 37.816185]",6051016,2124475,C,08X,CCD3,01/22/24  7:09:21 PM,1705968358000,8,2,1
1945762,LOP240122001110,W GRAND AV&MYRTLE ST,GRAND AV&MYRTLE ST,SECCK,SECURITY CHECK,1705950589000,"[-122.2797444, 37.8146888]",6047592,2123995,C,05X,CCD3,01/22/24  7:09:49 PM,1705954014000,5,1,1
1945763,LOP240122001111,2901 SEMINARY AV,SEMINARY AV,975,STAND BY AND PRESERV,1705950611000,"[-122.1873421, 37.7738041]",6074011,2108616,C,29X,CCD6,01/22/24  7:10:11 PM,1706016711000,29,5,3
1945764,LOP240122001112,ALICE ST&EMBARCADERO WEST,ST&EMBARCADERO WEST,415CU,DISTURBANCE-CUSTOMER,1705950782000,"[-122.2720995, 37.7933732]",6049653,2116193,C,01X,CCD3,01/22/24  7:13:02 PM,1705954593000,1,1,1
1945765,LOP240122001113,GRAND AV&PERKINS ST,AV&PERKINS ST,459AU,AUTO BURGLARY,1705950905000,"[-122.2561512, 37.8089665]",6054367,2121783,C,14X,CCD3,01/22/24  7:15:05 PM,1705952728000,14,2,2
1945766,LOP240122001115,66TH AV&SAN LEANDRO ST,AV&SAN LEANDRO ST,211,ROBBERY,1705950957000,"[-122.200771, 37.7568255]",6070018,2102505,C,26Y,CCD6,01/22/24  7:15:57 PM,1705957171000,26,4,3
1945767,LOP240122001114,1284 W GRAND AV,W GRAND AV,970B,AUTO BLOCKING DRIVEW,1705950948000,"[-122.2868041, 37.8162603]",6045564,2124606,P,07X,CCD3,01/22/24  7:15:48 PM,1705950970000,7,1,1
1945768,LOP240122001116,E 22ND ST&RUTHERFORD ST,22ND ST&RUTHERFORD ST,953,INVESTIGATE REPORT O,1705951026000,"[-122.2231882, 37.7852507]",6063729,2112972,C,21Y,CCD5,01/22/24  7:17:06 PM,1705951158000,21,3,2
