OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1942180,LOP240119001113,1727 9TH ST,9TH ST,945A,AMBULANCE REQUESTED,1705691101000,"[-122.3002347, 37.809244]",6041636,2122126,C,02Y,CCD3,01/19/24  7:05:01 PM,1705691101000,2,1,1
1942181,LOP240119001114,WB BROADWAY OFFRP&WB S24,BROADWAY OFFRP&WB S24,STALL,STALLED VEH,1705691155000,"[-122.2393483, 37.8501481]",6059499,2136685,C,12Y,CCD1,01/19/24  7:05:55 PM,1705691155000,12,2,1
1942182,LOP240119001115,1451 7TH ST,7TH ST,415,DISTURBING THE PEACE,1705691195000,"[-122.2949871, 37.8052807]",6043124,2120654,C,02Y,CCD3,01/19/24  7:06:35 PM,1705691196000,2,1,1
1942183,LOP240119001116,715 PERALTA ST,PERALTA ST,955,ANIMAL-STRAYING,1705691305000,"[-122.2981261, 37.8062382]",6042224,2121020,C,02Y,CCD3,01/19/24  7:08:25 PM,1705694579000,2,1,1
1942184,LOP240119001117,1801 EMBARCADERO,EMBARCADERO,911H,911 HANG-UP,1705691370000,"[-122.2432278, 37.7836404]",6057928,2112493,C,19X,CCD2,01/19/24  7:09:30 PM,1705712022000,19,3,2
1942185,LOP240119001118,2615 60TH AV,60TH AV,945A,AMBULANCE REQUESTED,1705691383000,"[-122.1890929, 37.771513]",6073490,2107791,C,29X,CCD6,01/19/24  7:09:43 PM,1705691435000,29,5,3
1942186,LOP240119001119,699 BELLEVUE AV,BELLEVUE AV,955,ANIMAL-STRAYING,1705691389000,"[-122.259488, 37.8098122]",6053409,2122109,C,14X,CCD3,01/19/24  7:09:49 PM,1705743260000,14,2,2
1942187,LOP240119001122,2650 HARRISON ST,HARRISON ST,HAZ,HAZARDOUS SITUATION/,1705691613000,"[-122.2601538, 37.8142384]",6053247,2123724,C,14X,CCD3,01/19/24  7:13:33 PM,1705698921000,14,2,2
1942188,LOP240119001123,4050 FOOTHILL BLVD,FOOTHILL BLVD,211,ROBBERY,1705691675000,"[-122.214533, 37.7771887]",6066176,2109991,C,24X,CCD5,01/19/24  7:14:35 PM,1705705670000,24,4,2
1942189,LOP240119001124,E 12TH ST&49TH AV,12TH ST&49TH AV,SECCK,SECURITY CHECK,1705691694000,"[-122.2113506, 37.7682364]",6067036,2106715,C,26X,CCD5,01/19/24  7:14:54 PM,1705693051000,26,4,3
