OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2002696,LOP240326001006,3826 CLARKE ST,CLARKE ST,415RM,DISTURBING BETWEEN R,1711479866000,"[-122.2636191, 37.8271872]",6052335,2128457,C,08X,CCD1,03/26/24  7:04:26 PM,1711485146000,8,2,1
2002697,LOP240326001007,1918 88TH AV,88TH AV,945A,AMBULANCE REQUESTED,1711479868000,"[-122.1699811, 37.7534917]",6078896,2101131,C,34X,CCD7,03/26/24  7:04:28 PM,1711479868000,34,5,3
2002698,LOP240326001009,3525 KANSAS ST,KANSAS ST,594,VANDALISM,1711479885000,"[-122.1991728, 37.7943505]",6070728,2116158,C,25X,CCD4,03/26/24  7:04:45 PM,1711479915000,25,4,2
2002699,LOP240326001010,1918 88TH AV,88TH AV,945A,AMBULANCE REQUESTED,1711479966000,"[-122.1699811, 37.7534917]",6078896,2101131,C,34X,CCD7,03/26/24  7:06:06 PM,1711479967000,34,5,3
2002700,LOP240326001011,1918 88TH AV,88TH AV,945A,AMBULANCE REQUESTED,1711479967000,"[-122.1699811, 37.7534917]",6078896,2101131,C,34X,CCD7,03/26/24  7:06:07 PM,1711479968000,34,5,3
2002701,LOP240326001012,5295 BROADWAY TER,BROADWAY TER,459,BURGLARY,1711479984000,"[-122.2484066, 37.8374944]",6056798,2132127,C,13X,CCD1,03/26/24  7:06:24 PM,1711486168000,13,2,1
2002702,LOP240326001013,2858 BROOKDALE AV,BROOKDALE AV,10851,STOLEN VEHICLE,1711480102000,"[-122.2178067, 37.793045]",6065336,2115781,C,21Y,CCD5,03/26/24  7:08:22 PM,1711487625000,21,3,2
2002703,LOP240326001014,3342 KANSAS ST,KANSAS ST,415C,415 UNKNOWN,1711480124000,"[-122.2004069, 37.7957912]",6070381,2116689,C,22Y,CCD4,03/26/24  7:08:44 PM,1711501943000,22,3,2
2002704,LOP240326001015,949 VILLAGE CIR,VILLAGE CIR,945A,AMBULANCE REQUESTED,1711480185000,"[-122.2838082, 37.8051316]",6046352,2120538,C,02X,CCD3,03/26/24  7:09:45 PM,1711480185000,2,1,1
2002705,LOP240326001016,323 HANOVER AV,HANOVER AV,970B,AUTO BLOCKING DRIVEW,1711480460000,"[-122.2514706, 37.8028146]",6055677,2119518,A,15X,CCD2,03/26/24  7:14:20 PM,1711483833000,15,3,2
