OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1722395,LOP230502000949,6105 SEMINARY AV,SEMINARY AV,901,VEHICLE COLLISION/PR,1683054285000,"[-122.1768674, 37.7799388]",6077078,2110795,P,29X,CCD6,05/02/23  7:04:45 PM,1683054300000,29,5,3
1722396,LOP230502000950,4550 TULIP AV,TULIP AV,911C,911 HANG UP FROM CP,1683054366000,"[-122.1896876, 37.7868562]",6073419,2113380,C,25X,CCD4,05/02/23  7:06:06 PM,1683057733000,25,4,2
1722398,LOP230502000951,6105 SEMINARY AV,SEMINARY AV,415,DISTURBING THE PEACE,1683054388000,"[-122.1768674, 37.7799388]",6077078,2110795,C,29X,CCD6,05/02/23  7:06:28 PM,1683076912000,29,5,3
1722399,LOP230502000952,1100 29TH AV,29TH AV,415C,415 UNKNOWN,1683054402000,"[-122.2309574, 37.7774953]",6061432,2110190,C,20X,CCD5,05/02/23  7:06:42 PM,1683076868000,20,3,2
1722400,LOP230502000954,1618 20TH AV,20TH AV,11550,USE OF/UNDER INFLUEN,1683054532000,"[-122.2382094, 37.7876314]",6059405,2113919,C,18X,CCD2,05/02/23  7:08:52 PM,1683056276000,18,3,2
1722401,LOP230502000955,744 52ND ST,52ND ST,459AU,AUTO BURGLARY,1683054623000,"[-122.2677056, 37.8373716]",6051225,2132187,C,11X,CCD1,05/02/23  7:10:23 PM,1683054626000,11,2,1
1722402,LOP230502000956,E 12TH ST&25TH AV,12TH ST&25TH AV,R10851,RECOVERED STOLEN VEH,1683054634000,"[-122.2347471, 37.7812109]",6060362,2111563,C,20X,CCD5,05/02/23  7:10:34 PM,1683110565000,20,3,2
1722403,LOP230502000957,742 45TH AV,45TH AV,911C,911 HANG UP FROM CP,1683054658000,"[-122.2184175, 37.7672409]",6064987,2106390,C,26X,CCD5,05/02/23  7:10:58 PM,1683054920000,26,4,3
1722404,LOP230502000958,88TH AV&HILLSIDE ST,AV&HILLSIDE ST,242,BATTERY,1683054660000,"[-122.1637094, 37.7564425]",6080728,2102173,C,35X,CCD7,05/02/23  7:11:00 PM,1683057843000,35,5,3
1722405,LOP230502000959,455 7TH ST,7TH ST,R10851,RECOVERED STOLEN VEH,1683054674000,"[-122.2743715, 37.7995112]",6049039,2118440,C,03Y,CCD3,05/02/23  7:11:14 PM,1683055146000,3,1,1
1722406,LOP230502000960,3241 MONTEREY BLVD,MONTEREY BLVD,459,BURGLARY,1683054760000,"[-122.1920144, 37.8046714]",6072864,2119878,C,22Y,CCD4,05/02/23  7:12:40 PM,1683064484000,22,3,2
