OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1709971,LOP230421001038,2353 WEBSTER ST,WEBSTER ST,911C,911 HANG UP FROM CP,1682103838000,"[-122.2651546, 37.8126858]",6051792,2123186,C,08X,CCD3,04/21/23  7:03:58 PM,1682103838000,8,2,1
1709972,LOP230421001039,5821 LAWTON AV,LAWTON AV,INFO,BEAT INFORMATION,1682103876000,"[-122.2475898, 37.8441372]",6057079,2134541,C,12Y,CCD1,04/21/23  7:04:36 PM,1682104178000,12,2,1
1709973,LOP230421001040,1130 3RD AV,3RD AV,953,INVESTIGATE REPORT O,1682103928000,"[-122.2570673, 37.7960373]",6054014,2117081,C,19X,CCD2,04/21/23  7:05:28 PM,1682103939000,19,3,2
1709974,LOP230421001041,1601 FRUITVALE AV,FRUITVALE AV,415C,415 UNKNOWN,1682103959000,"[-122.2245386, 37.7803581]",6063306,2111198,C,20X,CCD5,04/21/23  7:05:59 PM,1682121503000,20,3,2
1709975,LOP230421001042,1550 3RD AV,3RD AV,970B,AUTO BLOCKING DRIVEW,1682103961000,"[-122.2540818, 37.7981639]",6054891,2117839,C,19X,CCD2,04/21/23  7:06:01 PM,1682147279000,19,3,2
1709976,LOP230421001043,EL CENTRO AV&SAN SEBASTIAN AV,CENTRO AV&SAN SEBASTIAN AV,BCAST,BROADCAST,1682104004000,"[-122.2190893, 37.8103228]",6065081,2122078,C,16Y,CCD5,04/21/23  7:06:44 PM,1682104057000,16,3,2
1709977,LOP230421001044,6105 HILLEGASS AV,HILLEGASS AV,933R,ALARM-RINGER,1682104105000,"[-122.2543973, 37.8481426]",6055141,2136036,C,12Y,CCD1,04/21/23  7:08:25 PM,1682104803000,12,2,1
1709978,LOP230421001045,8110 MACARTHUR BLVD,MACARTHUR BLVD,415F,415 FAMILY,1682104162000,"[-122.1654503, 37.7634195]",6080270,2104722,P,30Y,CCD6,04/21/23  7:09:22 PM,1682104162000,30,5,3
1709979,LOP230421001046,3331 GRAND AV,GRAND AV,BTNFO,BEAT INFORMATION,1682104208000,"[-122.2466661, 37.8134308]",6057137,2123357,C,14Y,CCD2,04/21/23  7:10:08 PM,1682112410000,14,2,2
1709980,LOP230421001047,4059 WATERHOUSE RD,WATERHOUSE RD,211,ROBBERY,1682104231000,"[-122.2126773, 37.8092679]",6066926,2121660,C,22X,CCD4,04/21/23  7:10:31 PM,1682110987000,22,3,2
1709981,LOP230421001049,724 61ST ST,61ST ST,970B,AUTO BLOCKING DRIVEW,1682104256000,"[-122.2691524, 37.8463402]",6050869,2135460,C,11X,CCD1,04/21/23  7:10:56 PM,1682152650000,11,2,1
