OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1673667,LOP230110001011,444 EMBARCADERO WEST,EMBARCADERO WEST,10851,STOLEN VEHICLE,1673377462000,"[-122.2766332, 37.7953651]",6048357,2116943,C,01X,CCD3,01/10/23  7:04:22 PM,1673463748000,1,1,1
1673668,LOP230110001010,5360 COLLEGE AV,COLLEGE AV,459AU,AUTO BURGLARY,1673377422000,"[-122.2512754, 37.8393004]",6055982,2132800,C,12Y,CCD1,01/10/23  7:03:42 PM,1673377422000,12,2,1
1673669,LOP230110001009,11025 ACALANES DR,ACALANES DR,AOA,ASSIST OUTSIDE AGENC,1673377421000,"[-122.1738116, 37.7292656]",6077631,2092331,C,31Z,CCD7,01/10/23  7:03:41 PM,1673378198000,31,5,3
1673670,LOP230110001012,311 4TH ST,4TH ST,911C,911 HANG UP FROM CP,1673377601000,"[-122.2721853, 37.7960968]",6049647,2117185,C,01X,CCD3,01/10/23  7:06:41 PM,1673391902000,1,1,1
1673671,LOP230110001014,1500 48TH AV,48TH AV,INFO,BEAT INFORMATION,1673377624000,"[-122.2091383, 37.7708917]",6067693,2107670,C,27Y,CCD5,01/10/23  7:07:04 PM,1673377628000,27,4,3
1673672,LOP230110001015,309 4TH ST,4TH ST,945A,AMBULANCE REQUESTED,1673377657000,"[-122.2721364, 37.7960783]",6049661,2117178,C,01X,CCD3,01/10/23  7:07:37 PM,1673377657000,1,1,1
1673673,LOP230110001017,COLE ST&FOOTHILL BLVD,ST&FOOTHILL BLVD,SECCK,SECURITY CHECK,1673377804000,"[-122.1985789, 37.7726237]",6070756,2108245,C,27X,CCD4,01/10/23  7:10:04 PM,1673379571000,27,4,3
1673674,LOP230110001016,21ST ST&MYRTLE ST,ST&MYRTLE ST,933AU,AUTO ALARM,1673377796000,"[-122.2801204, 37.8136173]",6047476,2123607,C,05X,CCD3,01/10/23  7:09:56 PM,1673388518000,5,1,1
1673675,LOP230110001018,6051 MARGARIDO DR,MARGARIDO DR,970B,AUTO BLOCKING DRIVEW,1673377842000,"[-122.2416924, 37.8467075]",6058799,2135445,C,13X,CCD1,01/10/23  7:10:42 PM,1673379329000,13,2,1
1673676,LOP230110001019,DERBY AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,211,ROBBERY,1673377864000,"[-122.2273956, 37.7783523]",6062467,2110483,C,20X,CCD5,01/10/23  7:11:04 PM,1673380245000,20,3,2
