OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2035618,LOP240428000937,333 HEGENBERGER RD,HEGENBERGER RD,459AU,AUTO BURGLARY,1714331075000,"[-122.1976818, 37.7348874]",6070766,2094502,C,31X,CCD7,04/28/24  7:04:35 PM,1714331076000,31,5,3
2035619,LOP240428000939,E 12TH ST&39TH AV,12TH ST&39TH AV,976,CAR STOP,1714331272000,"[-122.2199118, 37.7731961]",6064595,2108566,C,23X,CCD5,04/28/24  7:07:52 PM,1714333282000,23,4,2
2035620,LOP240428000940,3827 GRAND AV,GRAND AV,911C,911 HANG UP FROM CP,1714331360000,"[-122.2450079, 37.8177156]",6057645,2124908,C,14Y,CCD2,04/28/24  7:09:20 PM,1714335282000,14,2,2
2035621,LOP240428000942,1900 26TH AV,26TH AV,OD,OVERDOSE,1714331476000,"[-122.2289104, 37.7845571]",6062071,2112750,C,21X,CCD5,04/28/24  7:11:16 PM,1714333988000,21,3,2
2035622,LOP240428000941,3300 WEBSTER ST,WEBSTER ST,911C,911 HANG UP FROM CP,1714331433000,"[-122.2625329, 37.8209682]",6052606,2126187,C,08X,CCD3,04/28/24  7:10:33 PM,1714331442000,8,2,1
2035623,LOP240428000943,8707 SAN LEANDRO ST,SAN LEANDRO ST,911C,911 HANG UP FROM CP,1714331494000,"[-122.1874443, 37.7455519]",6073796,2098331,C,31Y,CCD7,04/28/24  7:11:34 PM,1714331494000,31,5,3
2035624,LOP240428000946,26TH AV&FOOTHILL BLVD,AV&FOOTHILL BLVD,OD,OVERDOSE,1714331526000,"[-122.2289834, 37.7845698]",6062050,2112755,C,20X,CCD5,04/28/24  7:12:06 PM,1714331614000,20,3,2
2035625,LOP240428000944,W GRAND AV&MARTIN LUTHER KING JR WY,GRAND AV&MARTIN LUTHER KING JR WY,5150,MENTALLY ILL,1714331508000,"[-122.272772, 37.8125524]",6049591,2123179,C,04X,CCD3,04/28/24  7:11:48 PM,1714345880000,4,1,1
2035626,LOP240428000945,7425 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911C,911 HANG UP FROM CP,1714331513000,"[-122.1861301, 37.7586757]",6074262,2103102,C,26Y,CCD7,04/28/24  7:11:53 PM,1714331517000,26,4,3
2035627,LOP240428000947,4632 REDWOOD RD,REDWOOD RD,243E,BATTERY ON CO-HABITA,1714331552000,"[-122.1761685, 37.794666]",6077376,2116153,C,22Y,CCD4,04/28/24  7:12:32 PM,1714334727000,22,3,2
