OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2041440,LOP240503000954,2626 HIGH ST,HIGH ST,945A,AMBULANCE REQUESTED,1714763115000,"[-122.2038774, 37.782606]",6069291,2111907,C,28X,CCD4,05/03/24  7:05:15 PM,1714763116000,28,4,3
2041441,LOP240503000955,250 FRANK H OGAWA PLZ,FRANK H OGAWA PLZ,ASSIST,ASSIST,1714763188000,"[-122.2725652, 37.8057763]",6049604,2120711,C,04X,CCD3,05/03/24  7:06:28 PM,1714763188000,4,1,1
2041442,LOP240503000957,1748 3RD AV,3RD AV,911C,911 HANG UP FROM CP,1714763261000,"[-122.2524783, 37.7993057]",6055362,2118246,C,15X,CCD2,05/03/24  7:07:41 PM,1714763301000,15,3,2
2041443,LOP240503000956,2700 RITCHIE ST,RITCHIE ST,SECCK,SECURITY CHECK,1714763223000,"[-122.1690757, 37.7633902]",6079222,2104730,C,30Y,CCD6,05/03/24  7:07:03 PM,1714767035000,30,5,3
2041444,LOP240503000958,2651 73RD AV,73RD AV,911H,911 HANG-UP,1714763309000,"[-122.1745692, 37.7676467]",6077662,2106308,C,30Y,CCD6,05/03/24  7:08:29 PM,1714764736000,30,5,3
2041445,LOP240503000959,2463 83RD AV,83RD AV,HAZ,HAZARDOUS SITUATION/,1714763382000,"[-122.1662536, 37.7612876]",6080024,2103950,C,35X,CCD6,05/03/24  7:09:42 PM,1714765583000,35,5,3
2041446,LOP240503000961,4330 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,415C,415 UNKNOWN,1714763419000,"[-122.2677014, 37.8323972]",6051192,2130376,C,10Y,CCD1,05/03/24  7:10:19 PM,1714779281000,10,2,1
2041447,LOP240503000964,542 44TH ST,44TH ST,955E,ANIMAL BITE,1714763533000,"[-122.2643459, 37.8324117]",6052161,2130363,C,12X,CCD1,05/03/24  7:12:13 PM,1714821104000,12,2,1
2041448,LOP240503000963,3645 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,945A,AMBULANCE REQUESTED,1714763520000,"[-122.2695146, 37.8257942]",6050623,2127982,C,06X,CCD1,05/03/24  7:12:00 PM,1714763520000,6,1,1
2041449,LOP240503000962,242 KERWIN AV,KERWIN AV,HAZ,HAZARDOUS SITUATION/,1714763512000,"[-122.1827203, 37.7300231]",6075060,2092653,C,31Z,CCD7,05/03/24  7:11:52 PM,1714765072000,31,5,3
