OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1935016,LOP240113000988,1315 16TH ST,16TH ST,10851,STOLEN VEHICLE,1705172702000,"[-122.2890578, 37.8117901]",6044882,2122991,C,05X,CCD3,01/13/24  7:05:02 PM,1705172702000,5,1,1
1935017,LOP240113000987,7101 EDGEWATER DR,EDGEWATER DR,911C,911 HANG UP FROM CP,1705172659000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,01/13/24  7:04:19 PM,1705172659000,31,5,3
1935018,LOP240113000986,6447 INTERNATIONAL BLVD,INTERNATIONAL BLVD,415C,415 UNKNOWN,1705172636000,"[-122.1953746, 37.7630725]",6071619,2104751,C,26Y,CCD6,01/13/24  7:03:56 PM,1705173405000,26,4,3
1935019,LOP240113000989,6447 INTERNATIONAL BLVD,INTERNATIONAL BLVD,215,CARJACKING,1705172780000,"[-122.1953746, 37.7630725]",6071619,2104751,C,26Y,CCD6,01/13/24  7:06:20 PM,1705185725000,26,4,3
1935020,LOP240113000991,EB I580&LAKESHORE AV,I580&LAKESHORE AV,459AU,AUTO BURGLARY,1705173012000,"[-122.2466439, 37.8096927]",6057118,2121996,C,14X,CCD2,01/13/24  7:10:12 PM,1705180378000,14,2,2
1935021,LOP240113000990,45TH AV&BANCROFT AV,AV&BANCROFT AV,SECCK,SECURITY CHECK,1705172992000,"[-122.2120129, 37.7726519]",6066874,2108326,C,27X,CCD5,01/13/24  7:09:52 PM,1705173990000,27,4,3
1935022,LOP240113000992,SAN LEANDRO ST&SEMINARY AV,LEANDRO ST&SEMINARY AV,SECCK,SECURITY CHECK,1705173027000,"[-122.2055726, 37.7608763]",6068657,2104005,C,26Y,CCD6,01/13/24  7:10:27 PM,1705176016000,26,4,3
1935023,LOP240113000993,8TH ST&FILBERT ST,ST&FILBERT ST,SECCK,SECURITY CHECK,1705173087000,"[-122.2846703, 37.804127]",6046096,2120177,C,02X,CCD3,01/13/24  7:11:27 PM,1705175923000,2,1,1
1935024,LOP240113000995,6475 FOOTHILL BLVD,FOOTHILL BLVD,415UG,DISTURBANCE-UNWANTED,1705173129000,"[-122.1835215, 37.7705873]",6075094,2107425,C,29X,CCD6,01/13/24  7:12:09 PM,1705188662000,29,5,3
1935025,LOP240113000996,9314 INTERNATIONAL BLVD,INTERNATIONAL BLVD,911C,911 HANG UP FROM CP,1705173203000,"[-122.1729553, 37.7477637]",6077999,2099061,C,34X,CCD7,01/13/24  7:13:23 PM,1705173203000,34,5,3
