OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1715561,LOP230426000939,2488 COOLIDGE AV,COOLIDGE AV,933R,ALARM-RINGER,1682535743000,"[-122.218332, 37.7870273]",6065144,2113593,C,21Y,CCD5,04/26/23  7:02:23 PM,1682536654000,21,3,2
1715562,LOP230426000940,100 BAY PL,BAY PL,945A,AMBULANCE REQUESTED,1682535743000,"[-122.260515, 37.8112225]",6053122,2122628,C,14X,CCD3,04/26/23  7:02:23 PM,1682535743000,14,2,2
1715563,LOP230426000941,1935 SEMINARY AV,SEMINARY AV,5150,MENTALLY ILL,1682535816000,"[-122.1959851, 37.7676866]",6071473,2106434,C,27Y,CCD6,04/26/23  7:03:36 PM,1682581809000,27,4,3
1715564,LOP230426000942,9928 HOLLY ST,HOLLY ST,WELCK,WELFARE CHECK -- CHE,1682535829000,"[-122.1682701, 37.7438472]",6079328,2097611,P,32X,CCD7,04/26/23  7:03:49 PM,1682535829000,32,5,3
1715565,LOP230426000943,2800 61ST AV,61ST AV,975,STAND BY AND PRESERV,1682535860000,"[-122.1870605, 37.7717646]",6074079,2107872,P,29X,CCD6,04/26/23  7:04:20 PM,1682535860000,29,5,3
1715566,LOP230426000944,3658 MAPLE AV,MAPLE AV,INFO,BEAT INFORMATION,1682536096000,"[-122.2042106, 37.7980326]",6069297,2117525,C,22Y,CCD4,04/26/23  7:08:16 PM,1682536097000,22,3,2
1715567,LOP230426000945,7200 BANCROFT AV,BANCROFT AV,415CU,DISTURBANCE-CUSTOMER,1682536288000,"[-122.1776995, 37.7665254]",6076750,2105916,C,30Y,CCD6,04/26/23  7:11:28 PM,1682556979000,30,5,3
1715568,LOP230426000946,589 W GRAND AV,W GRAND AV,415E,LOUD MUSIC,1682536358000,"[-122.2697452, 37.8120842]",6050462,2122992,P,04X,CCD3,04/26/23  7:12:38 PM,1682536364000,4,1,1
1715569,LOP230426000947,711 71ST AV,71ST AV,602L,TRESPASS:,1682536451000,"[-122.1980928, 37.7540843]",6070774,2101493,C,31X,CCD7,04/26/23  7:14:11 PM,1682554544000,31,5,3
1715570,LOP230426000948,7510 STERLING DR,STERLING DR,911C,911 HANG UP FROM CP,1682536573000,"[-122.1656904, 37.7721206]",6080257,2107891,C,30Y,CCD6,04/26/23  7:16:13 PM,1682536635000,30,5,3
1715571,LOP230426000949,7510 STERLING DR,STERLING DR,945A,AMBULANCE REQUESTED,1682536607000,"[-122.1656904, 37.7721206]",6080257,2107891,C,30Y,CCD6,04/26/23  7:16:47 PM,1682536635000,30,5,3
