OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1726692,LOP230506001069,985 55TH ST,55TH ST,415E,LOUD MUSIC,1683404890000,"[-122.2775644, 37.8390364]",6048390,2132847,C,10X,CCD1,05/06/23  8:28:10 PM,1683411794000,10,2,1
1726693,LOP230506001285,7000 COLISEUM WY,COLISEUM WY,10851,STOLEN VEHICLE,1683417408000,"[-122.2054967, 37.7516921]",6068618,2100661,C,31X,CCD7,05/06/23 11:56:48 PM,1683429018000,31,5,3
1726694,LOP230506001286,11TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,SECCK,SECURITY CHECK,1683417464000,"[-122.2488741, 37.791344]",6056349,2115328,C,19X,CCD2,05/06/23 11:57:44 PM,1683436208000,19,3,2
1726967,LOP230506000992,5131 SHATTUCK AV,SHATTUCK AV,911N,POLICE RELATED MATTE,1683399718000,"[-122.2641552, 37.8370677]",6052248,2132057,C,12X,CCD1,05/06/23  7:01:58 PM,1683399718000,12,2,1
1726968,LOP230506000994,4TH ST&WEBSTER ST,ST&WEBSTER ST,901,VEHICLE COLLISION/PR,1683399901000,"[-122.2730983, 37.7964951]",6049386,2117335,C,01X,CCD3,05/06/23  7:05:01 PM,1683399902000,1,1,1
1726969,LOP230506000993,1301 26TH ST,26TH ST,602L,TRESPASS:,1683399893000,"[-122.2860243, 37.819398]",6045811,2125744,C,07X,CCD3,05/06/23  7:04:53 PM,1683405187000,7,1,1
1726970,LOP230506000995,3301 E 12TH ST,E 12TH ST,MP,MISSING PERSON,1683400005000,"[-122.225122, 37.7761223]",6063109,2109659,C,23X,CCD5,05/06/23  7:06:45 PM,1683420581000,23,4,2
1726971,LOP230506000996,EDGEWATER DR&HEGENBERGER LOOP,DR&HEGENBERGER LOOP,459AU,AUTO BURGLARY,1683400278000,"[-122.1968765, 37.7368822]",6071012,2095224,C,31X,CCD7,05/06/23  7:11:18 PM,1683401170000,31,5,3
1726972,LOP230506000997,LINCOLN AV&PALMETTO ST,AV&PALMETTO ST,970C,AUTO IN RESTRICED ZO,1683400330000,"[-122.2149271, 37.799204]",6066209,2118008,C,22X,CCD4,05/06/23  7:12:10 PM,1683421680000,22,3,2
1726973,LOP230506000998,3611 E 12TH ST,E 12TH ST,415TH,415 THREATS,1683400415000,"[-122.2223407, 37.7748225]",6063904,2109171,C,23X,CCD5,05/06/23  7:13:35 PM,1683439371000,23,4,2
1726974,LOP230506000999,8TH ST&FILBERT ST,ST&FILBERT ST,SECCK,SECURITY CHECK,1683400513000,"[-122.2846703, 37.804127]",6046096,2120177,C,02X,CCD3,05/06/23  7:15:13 PM,1683401723000,2,1,1
