OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2044937,LOP240506001023,9601 CORAL RD,CORAL RD,945A,AMBULANCE REQUESTED,1715022212000,"[-122.1906971, 37.733293]",6072775,2093885,C,31Y,CCD7,05/06/24  7:03:32 PM,1715022287000,31,5,3
2044938,LOP240506001024,4500 BANCROFT AV,BANCROFT AV,SECCK,SECURITY CHECK,1715022225000,"[-122.2119445, 37.7726858]",6066894,2108338,C,27X,CCD5,05/06/24  7:03:45 PM,1715024008000,27,4,3
2044939,LOP240506001025,2030 FRANKLIN ST,FRANKLIN ST,911C,911 HANG UP FROM CP,1715022333000,"[-122.2668739, 37.8089849]",6051270,2121848,C,04X,CCD3,05/06/24  7:05:33 PM,1715022356000,4,1,1
2044940,LOP240506001026,1500 E 15TH ST,E 15TH ST,933R,ALARM-RINGER,1715022335000,"[-122.2443839, 37.7898338]",6057636,2114754,C,19X,CCD2,05/06/24  7:05:35 PM,1715046369000,19,3,2
2044941,LOP240506001027,5660 COLLEGE AV,COLLEGE AV,415C,415 UNKNOWN,1715022518000,"[-122.2516434, 37.843742]",6055906,2134419,C,12Y,CCD1,05/06/24  7:08:38 PM,1715022518000,12,2,1
2044942,LOP240506001028,7000 HAMILTON ST,HAMILTON ST,SECCK,SECURITY CHECK,1715022595000,"[-122.1924205, 37.758396]",6072442,2103033,C,26Y,CCD7,05/06/24  7:09:55 PM,1715023599000,26,4,3
2044944,LOP240506001029,1031 ELBERT ST,ELBERT ST,415C,415 UNKNOWN,1715022671000,"[-122.2213658, 37.8102511]",6064423,2122064,C,16Y,CCD5,05/06/24  7:11:11 PM,1715042705000,16,3,2
2044945,LOP240506001030,5345 FOOTHILL BLVD,FOOTHILL BLVD,415C,415 UNKNOWN,1715022876000,"[-122.1998063, 37.7725758]",6070401,2108234,C,27X,CCD4,05/06/24  7:14:36 PM,1715023013000,27,4,3
2044946,LOP240506001032,1801 VICKSBURG AV,VICKSBURG AV,945A,AMBULANCE REQUESTED,1715023050000,"[-122.2031973, 37.7718127]",6069416,2107974,C,27X,CCD4,05/06/24  7:17:30 PM,1715023405000,27,4,3
2044947,LOP240506001031,1651 FRUITVALE AV,FRUITVALE AV,415SS,415 SHOT SPOTTER GUN,1715023005000,"[-122.2241294, 37.7812156]",6063430,2111508,C,20X,CCD5,05/06/24  7:16:45 PM,1715030583000,20,3,2
