OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2038215,LOP240430001031,1221 E 20TH ST,E 20TH ST,911N,POLICE RELATED MATTE,1714503867000,"[-122.2424108, 37.7944007]",6058237,2116406,C,17X,CCD2,04/30/24  7:04:27 PM,1714503871000,17,3,2
2038216,LOP240430001032,1669 18TH ST,18TH ST,WELCK,WELFARE CHECK -- CHE,1714503910000,"[-122.2934526, 37.8148465]",6043634,2124128,C,05Y,CCD3,04/30/24  7:05:10 PM,1714506297000,5,1,1
2038217,LOP240430001033,1839 9TH AV,9TH AV,A10851,ATTEMPTED AUTO THEFT,1714503967000,"[-122.2465202, 37.7957518]",6057059,2116920,C,17X,CCD2,04/30/24  7:06:07 PM,1714504600000,17,3,2
2038218,LOP240430001035,98TH AV&BANCROFT AV,AV&BANCROFT AV,245,ASSAULT W/DEADLY WEA,1714504140000,"[-122.1619683, 37.7483614]",6081179,2099222,C,32Y,CCD7,04/30/24  7:09:00 PM,1714510710000,32,5,3
2038219,LOP240430001034,680 HEGENBERGER RD,HEGENBERGER RD,949,SUSPICIOUS VEHICLE,1714504127000,"[-122.1961433, 37.7487012]",6071302,2099523,C,31Y,CCD7,04/30/24  7:08:47 PM,1714504751000,31,5,3
2038220,LOP240430001036,98TH AV&BANCROFT AV,AV&BANCROFT AV,245,ASSAULT W/DEADLY WEA,1714504141000,"[-122.1619683, 37.7483614]",6081179,2099222,C,32Y,CCD7,04/30/24  7:09:01 PM,1714504430000,32,5,3
2038221,LOP240430001039,4615 MANILA AV,MANILA AV,11550,USE OF/UNDER INFLUEN,1714504328000,"[-122.256134, 37.8337071]",6054541,2130790,C,12X,CCD1,04/30/24  7:12:08 PM,1714511633000,12,2,1
2038222,LOP240430001040,2221 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,901,VEHICLE COLLISION/PR,1714504353000,"[-122.2729953, 37.8120409]",6049523,2122994,C,04X,CCD3,04/30/24  7:12:33 PM,1714504410000,4,1,1
2038223,LOP240430001038,22ND ST&MARTIN LUTHER KING JR WY,ST&MARTIN LUTHER KING JR WY,901A,VEHICLE COLLISION-PE,1714504304000,"[-122.2729811, 37.8118845]",6049526,2122937,C,04X,CCD3,04/30/24  7:11:44 PM,1714508842000,4,1,1
2038224,LOP240430001041,2530 79TH AV,79TH AV,10851,STOLEN VEHICLE,1714504456000,"[-122.1723997, 37.7625767]",6078256,2104451,C,30Y,CCD6,04/30/24  7:14:16 PM,1714527849000,30,5,3
