OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1971057,LOP240212001062,2913 FRUITVALE AV,FRUITVALE AV,459AU,AUTO BURGLARY,1707764660000,"[-122.2190637, 37.7932189]",6064974,2115851,C,21Y,CCD5,02/12/24  7:04:20 PM,1707764661000,21,3,2
1971058,LOP240212001064,E 12TH ST&16TH AV,12TH ST&16TH AV,929,FIRE,1707764680000,"[-122.2450328, 37.7871076]",6057430,2113765,C,19X,CCD2,02/12/24  7:04:40 PM,1707764680000,19,3,2
1971059,LOP240212001063,44TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,SECCK,SECURITY CHECK,1707764677000,"[-122.2140002, 37.7719445]",6066295,2108079,C,27X,CCD5,02/12/24  7:04:37 PM,1707766032000,27,4,3
1971060,LOP240212001066,2112 FRUITVALE AV,FRUITVALE AV,911C,911 HANG UP FROM CP,1707764721000,"[-122.2224383, 37.7844046]",6063940,2112660,C,21Y,CCD5,02/12/24  7:05:21 PM,1707764721000,21,3,2
1971061,LOP240212001067,5614 SHATTUCK AV,SHATTUCK AV,945A,AMBULANCE REQUESTED,1707764760000,"[-122.2646102, 37.8414887]",6052147,2133669,C,11X,CCD1,02/12/24  7:06:00 PM,1707764760000,11,2,1
1971062,LOP240212001069,6TH ST&WASHINGTON ST,ST&WASHINGTON ST,601I,INCORRIGIBLE: BEYOND,1707764816000,"[-122.275869, 37.7993046]",6048605,2118373,C,03Y,CCD3,02/12/24  7:06:56 PM,1707764830000,3,1,1
1971063,LOP240212001070,27TH ST&TELEGRAPH AV,ST&TELEGRAPH AV,945A,AMBULANCE REQUESTED,1707764835000,"[-122.2679247, 37.816185]",6051016,2124475,C,08X,CCD3,02/12/24  7:07:15 PM,1707764836000,8,2,1
1971064,LOP240212001071,640 THOMAS L. BERKLEY WY,THOMAS L. BERKLEY WY,911C,911 HANG UP FROM CP,1707764865000,"[-122.2727972, 37.8101266]",6049567,2122296,C,04X,CCD3,02/12/24  7:07:45 PM,1707764865000,4,1,1
1971065,LOP240212001072,2227 SAN PABLO AV,SAN PABLO AV,EVAL,EVALUATION,1707764926000,"[-122.2740864, 37.8127853]",6049213,2123271,C,07X,CCD3,02/12/24  7:08:46 PM,1707764927000,7,1,1
1971066,LOP240212001073,E 12TH ST&1ST AV,12TH ST&1ST AV,SECCK,SECURITY CHECK,1707764928000,"[-122.2581277, 37.7981338]",6053722,2117850,C,19X,CCD2,02/12/24  7:08:48 PM,1707765221000,19,3,2
