OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
1913250,LOP231225000736,1078 TRESTLE GLEN RD,TRESTLE GLEN RD,945A,AMBULANCE REQUESTED,1703527569000,"[-122.2343404, 37.8070698]",6060654,2120975,C,16Y,CCD2,12/25/23  6:06:09 PM,1703527569000,16,3,2
1913251,LOP231225000738,1541 WELLINGTON ST,WELLINGTON ST,912,SUSPICIOUS PERSON,1703527837000,"[-122.2193088, 37.806345]",6064991,2120631,C,16Y,CCD5,12/25/23  6:10:37 PM,1703552325000,16,3,2
1913252,LOP231225000737,559 66TH AV,66TH AV,933R,ALARM-RINGER,1703527830000,"[-122.2069918, 37.7547331]",6068206,2101776,C,26X,CCD6,12/25/23  6:10:30 PM,1703527852000,26,4,3
1913253,LOP231225000739,1701 41ST AV,41ST AV,484LP,STOLEN LICENSE PLATE,1703527913000,"[-122.215029, 37.7751378]",6066019,2109247,C,23X,CCD5,12/25/23  6:11:53 PM,1703539164000,23,4,2
1913254,LOP231225000741,10911 RUSSETT ST,RUSSETT ST,911N,POLICE RELATED MATTE,1703528034000,"[-122.1715552, 37.7321186]",6078302,2093358,C,31Z,CCD7,12/25/23  6:13:54 PM,1703528034000,31,5,3
1913255,LOP231225000740,55TH AV&BANCROFT AV,AV&BANCROFT AV,955F,INJURIED ANIMAL,1703528032000,"[-122.1972831, 37.7716453]",6071124,2107882,C,27X,CCD4,12/25/23  6:13:52 PM,1703578931000,27,4,3
1913256,LOP231225000743,2828 CARMEL ST,CARMEL ST,933R,ALARM-RINGER,1703528118000,"[-122.2044917, 37.8019812]",6069242,2118964,C,22Y,CCD4,12/25/23  6:15:18 PM,1703531758000,22,3,2
1913257,LOP231225000742,11TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,SECCK,SECURITY CHECK,1703528089000,"[-122.2488741, 37.791344]",6056349,2115328,C,19X,CCD2,12/25/23  6:14:49 PM,1703529629000,19,3,2
1913258,LOP231225000744,988 FRANKLIN ST,FRANKLIN ST,415UG,DISTURBANCE-UNWANTED,1703528156000,"[-122.2716927, 37.8009825]",6049823,2118961,C,03X,CCD2,12/25/23  6:15:56 PM,1703536738000,3,1,1
1913259,LOP231225000747,9841 A ST,A ST,415BF,415 BOYFRIEND,1703528354000,"[-122.1726779, 37.7426613]",6078046,2097202,C,32X,CCD7,12/25/23  6:19:14 PM,1703558589000,32,5,3
1913260,LOP231225000749,3027 FOOTHILL BLVD,FOOTHILL BLVD,602L,TRESPASS:,1703528430000,"[-122.2235769, 37.783954]",6063608,2112502,C,20X,CCD5,12/25/23  6:20:30 PM,1703530013000,20,3,2
1913261,LOP231225000750,34TH AV&FOOTHILL BLVD,AV&FOOTHILL BLVD,415GS,415 GUNSHOTS,1703528477000,"[-122.2206552, 37.7830271]",6064446,2112149,C,23X,CCD5,12/25/23  6:21:17 PM,1703562446000,23,4,2
1913262,LOP231225000751,1461 ALICE ST,ALICE ST,10851,STOLEN VEHICLE,1703528611000,"[-122.2661542, 37.8030378]",6051437,2119679,C,04X,CCD3,12/25/23  6:23:31 PM,1703532999000,4,1,1
1913263,LOP231225000752,3000 E 9TH ST,E 9TH ST,912,SUSPICIOUS PERSON,1703528668000,"[-122.2327441, 37.77531]",6060901,2109404,C,20X,CCD5,12/25/23  6:24:28 PM,1703537834000,20,3,2
1913264,LOP231225000753,BEAUMONT AV&EXCELSIOR AV,AV&EXCELSIOR AV,459AU,AUTO BURGLARY,1703528744000,"[-122.2277572, 37.8026754]",6062526,2119340,C,16Y,CCD5,12/25/23  6:25:44 PM,1703536722000,16,3,2
1913265,LOP231225000754,2779 E 22ND ST,E 22ND ST,415SS,415 SHOT SPOTTER GUN,1703528912000,"[-122.2249037, 37.7857969]",6063237,2113180,C,21X,CCD5,12/25/23  6:28:32 PM,1703540160000,21,3,2
1913266,LOP231225000755,988 FRANKLIN ST,FRANKLIN ST,912,SUSPICIOUS PERSON,1703529124000,"[-122.2716927, 37.8009825]",6049823,2118961,C,03X,CCD2,12/25/23  6:32:04 PM,1703534987000,3,1,1
1913267,LOP231225000756,BELLEVUE AV&GRAND AV,AV&GRAND AV,929,FIRE,1703529343000,"[-122.2594086, 37.8098244]",6053432,2122113,C,14X,CCD3,12/25/23  6:35:43 PM,1703529343000,14,2,2
1913268,LOP231225000757,56 CAMELFORD PL,CAMELFORD PL,933R,ALARM-RINGER,1703529529000,"[-122.1933512, 37.8209323]",6072585,2125805,C,13Z,CCD4,12/25/23  6:38:49 PM,1703550013000,13,2,1
1913269,LOP231225000758,22ND AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,CODE33,EMERGENCY TRAFFIC ON,1703529611000,"[-122.2378957, 37.7845788]",6059475,2112806,A,19X,CCD2,12/25/23  6:40:11 PM,1703529632000,19,3,2
1913270,LOP231225000759,1135 E 33RD ST,E 33RD ST,945A,AMBULANCE REQUESTED,1703529727000,"[-122.234273, 37.8021073]",6060640,2119168,C,17Y,CCD2,12/25/23  6:42:07 PM,1703529727000,17,3,2
1913271,LOP231225000760,2461 26TH AV,26TH AV,415BF,415 BOYFRIEND,1703529835000,"[-122.2246273, 37.789391]",6063341,2114487,C,21X,CCD5,12/25/23  6:43:55 PM,1703533961000,21,3,2
1913272,LOP231225000761,1930 12TH AV,12TH AV,MSDIAL,MISDIAL,1703529964000,"[-122.2431156, 37.794047]",6058031,2116281,C,17X,CCD2,12/25/23  6:46:04 PM,1703529964000,17,3,2
1913273,LOP231225000762,1004 CHESTER ST,CHESTER ST,911C,911 HANG UP FROM CP,1703530199000,"[-122.2949797, 37.8082693]",6043147,2121742,C,02Y,CCD3,12/25/23  6:49:59 PM,1703535283000,2,1,1
1913274,LOP231225000763,2102 INTERNATIONAL BLVD,INTERNATIONAL BLVD,CODE33,EMERGENCY TRAFFIC ON,1703530289000,"[-122.2388624, 37.7852183]",6059200,2113044,C,19X,CCD2,12/25/23  6:51:29 PM,1703537855000,19,3,2
1913275,LOP231225000764,22ND AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,CODE33,EMERGENCY TRAFFIC ON,1703530308000,"[-122.2378957, 37.7845788]",6059475,2112806,C,19X,CCD2,12/25/23  6:51:48 PM,1703530993000,19,3,2
1913276,LOP231225000765,1569 JACKSON ST,JACKSON ST,242,BATTERY,1703530346000,"[-122.2643692, 37.8035315]",6051956,2119849,C,12X,CCD3,12/25/23  6:52:26 PM,1703557420000,12,2,1
1913277,LOP231225000766,7101 EDGEWATER DR,EDGEWATER DR,415C,415 UNKNOWN,1703530402000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,12/25/23  6:53:22 PM,1703530403000,31,5,3
1913278,LOP231225000767,670 18TH ST,18TH ST,242,BATTERY,1703530428000,"[-122.2747878, 37.809105]",6048985,2121935,C,04X,CCD3,12/25/23  6:53:48 PM,1703534313000,4,1,1
1913279,LOP231225000768,3917 OPAL ST,OPAL ST,913A,ATTEMPT SUICIDE,1703530506000,"[-122.2590519, 37.8274999]",6053656,2128546,C,08X,CCD1,12/25/23  6:55:06 PM,1703540615000,8,2,1
1913280,LOP231225000769,924 FRANKLIN ST,FRANKLIN ST,933R,ALARM-RINGER,1703530936000,"[-122.2719493, 37.8005667]",6049746,2118811,C,03X,CCD2,12/25/23  7:02:16 PM,1703545053000,3,1,1
1913281,LOP231225000770,950 66TH AV,66TH AV,CODE7,SUBJECT ARMED WITH W,1703531324000,"[-122.1997887, 37.7574412]",6070306,2102724,C,26Y,CCD6,12/25/23  7:08:44 PM,1703531360000,26,4,3
1913282,LOP231225000772,2361 E 29TH ST,E 29TH ST,MPRISK,MISSING PERSON AT RI,1703531361000,"[-122.225564, 37.7952939]",6063110,2116641,C,21X,CCD5,12/25/23  7:09:21 PM,1703535579000,21,3,2
1913283,LOP231225000771,6929 FOOTHILL BLVD,FOOTHILL BLVD,911C,911 HANG UP FROM CP,1703531335000,"[-122.175511, 37.7695176]",6077402,2106994,C,30Y,CCD6,12/25/23  7:08:55 PM,1703531335000,30,5,3
1913284,LOP231225000773,1165 83RD AV,83RD AV,945A,AMBULANCE REQUESTED,1703531526000,"[-122.1822932, 37.7530199]",6075334,2101023,C,33X,CCD7,12/25/23  7:12:06 PM,1703531526000,33,5,3
1913285,LOP231225000774,10TH ST&WASHINGTON ST,ST&WASHINGTON ST,459,BURGLARY,1703531582000,"[-122.2741553, 37.8020525]",6049119,2119364,C,03Y,CCD3,12/25/23  7:13:02 PM,1703537425000,3,1,1
1913286,LOP231225000775,180 GRAND AV,GRAND AV,933R,ALARM-RINGER,1703531633000,"[-122.2630983, 37.8110932]",6052375,2122595,C,08X,CCD3,12/25/23  7:13:53 PM,1703532044000,8,2,1
1913287,LOP231225000776,409 HUDSON ST,HUDSON ST,933R,ALARM-RINGER,1703531743000,"[-122.2532451, 37.840867]",6055424,2133381,C,12Y,CCD1,12/25/23  7:15:43 PM,1703548295000,12,2,1
1913288,LOP231225000778,1126 WOOD ST,WOOD ST,945A,AMBULANCE REQUESTED,1703531879000,"[-122.2993393, 37.8112986]",6041909,2122869,C,02Y,CCD3,12/25/23  7:17:59 PM,1703531879000,2,1,1
