OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1641558,LOP221121000971,88TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,976,CAR STOP,1669058742000,"[-122.1754471, 37.7510354]",6077300,2100265,C,34X,CCD7,11/21/22  7:25:42 PM,1669060717000,34,5,3
1641559,LOP221121000972,8135 INTERNATIONAL BLVD,INTERNATIONAL BLVD,415LT,DISTURBANCE-LANDLORD,1669058764000,"[-122.1802862, 37.7559052]",6075933,2102063,C,33X,CCD7,11/21/22  7:26:04 PM,1669073340000,33,5,3
1641560,LOP221121000995,1053 92ND AV,92ND AV,945A,AMBULANCE REQUESTED,1669060181000,"[-122.1792689, 37.7459461]",6076162,2098432,C,33X,CCD7,11/21/22  7:49:41 PM,1669060181000,33,5,3
1641562,LOP221121000994,1520 FILBERT ST,FILBERT ST,MSDIAL,MISDIAL,1669060131000,"[-122.2825684, 37.8097293]",6046742,2122205,C,05X,CCD3,11/21/22  7:48:51 PM,1669060131000,5,1,1
1641563,LOP221121001005,2121 PERALTA ST,PERALTA ST,911C,911 HANG UP FROM CP,1669060714000,"[-122.2903089, 37.8157183]",6044548,2124428,C,05Y,CCD3,11/21/22  7:58:34 PM,1669060715000,5,1,1
1641564,LOP221121001073,394 40TH ST,40TH ST,459AU,AUTO BURGLARY,1669067798000,"[-122.2595656, 37.8284261]",6053514,2128886,C,12X,CCD1,11/21/22  9:56:38 PM,1669067799000,12,2,1
1641686,LOP221121000951,2922 FRUITVALE AV,FRUITVALE AV,911N,POLICE RELATED MATTE,1669057359000,"[-122.218889, 37.7932984]",6065025,2115879,C,21Y,CCD5,11/21/22  7:02:39 PM,1669057359000,21,3,2
1641687,LOP221121000950,OAKLAND AV&SANTA CLARA AV,AV&SANTA CLARA AV,20002,HIT & RUN (PROPERTY,1669057334000,"[-122.2534624, 37.8191367]",6055213,2125471,C,09X,CCD2,11/21/22  7:02:14 PM,1669076051000,9,2,1
1641689,LOP221121000952,90TH AV&MACARTHUR BLVD,AV&MACARTHUR BLVD,945A,AMBULANCE REQUESTED,1669057409000,"[-122.1613729, 37.755613]",6081398,2101859,C,35X,CCD7,11/21/22  7:03:29 PM,1669057409000,35,5,3
1641690,LOP221121000953,2651 73RD AV,73RD AV,415C,415 UNKNOWN,1669057504000,"[-122.1745692, 37.7676467]",6077662,2106308,C,30Y,CCD6,11/21/22  7:05:04 PM,1669058213000,30,5,3
