OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2006241,LOP240403000308,900 28TH ST,28TH ST,R10851,RECOVERED STOLEN VEH,1712136241000,"[-122.2770188, 37.8191413]",6048410,2125601,C,07X,CCD3,04/03/24  9:24:01 AM,1712136286000,,,
2006242,LOP240403000316,700 E 12TH ST,E 12TH ST,SECCK,SECURITY CHECK,1712136861000,"[-122.2530711, 37.7936247]",6055152,2116181,C,19X,CCD2,04/03/24  9:34:21 AM,1712138273000,,,
2006243,LOP240403000331,725 MARKET ST,MARKET ST,415,DISTURBING THE PEACE,1712137564000,"[-122.2829792, 37.8029028]",6046576,2119722,C,02X,CCD3,04/03/24  9:46:04 AM,1712143037000,,,
2006244,LOP240403000334,10700 MACARTHUR BLVD,MACARTHUR BLVD,594,VANDALISM,1712137593000,"[-122.1516479, 37.7423811]",6084124,2096992,C,32Y,CCD7,04/03/24  9:46:33 AM,1712137661000,,,
2006245,LOP240403000346,3715 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,945A,AMBULANCE REQUESTED,1712138082000,"[-122.2693503, 37.8264559]",6050675,2128222,C,06X,CCD1,04/03/24  9:54:42 AM,1712138083000,,,
2006246,LOP240403000365,3231 LORENZO AV,LORENZO AV,R10851,RECOVERED STOLEN VEH,1712139267000,"[-122.2023573, 37.7886105]",6069770,2114085,C,24Y,CCD4,04/03/24 10:14:27 AM,1712139345000,,,
2006247,LOP240403000360,7101 EDGEWATER DR,EDGEWATER DR,415C,415 UNKNOWN,1712138925000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,04/03/24 10:08:45 AM,1712138938000,,,
2006248,LOP240403000367,1340 58TH AV,58TH AV,415F,415 FAMILY,1712139309000,"[-122.2010225, 37.7649414]",6069999,2105461,P,26Y,CCD5,04/03/24 10:15:09 AM,1712150851000,,,
2006249,LOP240403000394,66TH AV&SAN LEANDRO ST,AV&SAN LEANDRO ST,HAZ,HAZARDOUS SITUATION/,1712141279000,"[-122.200771, 37.7568255]",6070018,2102505,C,26Y,CCD6,04/03/24 10:47:59 AM,1712153286000,,,
2006250,LOP240403000393,568 29TH ST,29TH ST,415,DISTURBING THE PEACE,1712141190000,"[-122.2686405, 37.8186162]",6050826,2125364,C,08X,CCD3,04/03/24 10:46:30 AM,1712141190000,,,
