OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1743352,LOP230520000931,62ND AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,SIDESH,SIDESHOW,1684609401000,"[-122.1971949, 37.7639995]",6071099,2105098,C,26Y,CCD6,05/20/23  7:03:21 PM,1684610366000,26,4,3
1743353,LOP230520000932,3111 INTERNATIONAL BLVD,INTERNATIONAL BLVD,211,ROBBERY,1684609522000,"[-122.2264876, 37.777852]",6062726,2110296,C,20X,CCD5,05/20/23  7:05:22 PM,1684614379000,20,3,2
1743354,LOP230520000933,19TH ST&HARRISON ST,ST&HARRISON ST,949,SUSPICIOUS VEHICLE,1684609536000,"[-122.2654652, 37.8063828]",6051659,2120893,C,04X,CCD3,05/20/23  7:05:36 PM,1684612077000,4,1,1
1743355,LOP230520000934,10990 CALODEN ST,CALODEN ST,933R,ALARM-RINGER,1684609537000,"[-122.1263645, 37.7516241]",6091492,2100229,C,35Y,CCD7,05/20/23  7:05:37 PM,1684610929000,35,5,3
1743356,LOP230520000937,54TH AV&E 8TH ST,AV&E 8TH ST,912,SUSPICIOUS PERSON,1684609783000,"[-122.2104294, 37.7636928]",6067272,2105056,C,26X,CCD5,05/20/23  7:09:43 PM,1684617413000,26,4,3
1743357,LOP230520000935,1221 E 20TH ST,E 20TH ST,911C,911 HANG UP FROM CP,1684609757000,"[-122.2424108, 37.7944007]",6058237,2116406,C,17X,CCD2,05/20/23  7:09:17 PM,1684616667000,17,3,2
1743358,LOP230520000936,15TH ST&HARRISON ST,ST&HARRISON ST,HAZ,HAZARDOUS SITUATION/,1684609771000,"[-122.2670092, 37.8039067]",6051196,2120000,C,04X,CCD3,05/20/23  7:09:31 PM,1684612013000,4,1,1
1743359,LOP230520000938,10323 KNIGHT ST,KNIGHT ST,R10851,RECOVERED STOLEN VEH,1684609832000,"[-122.1814393, 37.7296569]",6075428,2092513,P,31Z,CCD7,05/20/23  7:10:32 PM,1684609838000,31,5,3
1743360,LOP230520000939,INTERNATIONAL BLVD&SEMINARY AV,BLVD&SEMINARY AV,SDESHO,SIDESHOW,1684609893000,"[-122.199549, 37.7651137]",6070426,2105516,C,26Y,CCD6,05/20/23  7:11:33 PM,1684611960000,26,4,3
1743361,LOP230520000940,EB I580&WB S24,I580&WB S24,STALL,STALLED VEH,1684610007000,"[-122.2685884, 37.8242754]",6050880,2127424,C,08X,CCD3,05/20/23  7:13:27 PM,1684610007000,8,2,1
