OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1644531,LOP221124000634,3637 MAGEE AV,MAGEE AV,415C,415 UNKNOWN,1669316565000,"[-122.1994608, 37.793319]",6070638,2115784,C,25X,CCD4,11/24/22  7:02:45 PM,1669316607000,25,4,2
1644532,LOP221124000632,1054 63RD ST,63RD ST,CKVEH,CHECK VEHICLE,1669316526000,"[-122.282207, 37.8464514]",6047101,2135572,C,10X,CCD1,11/24/22  7:02:06 PM,1669334337000,10,2,1
1644533,LOP221124000633,2751 68TH AV,68TH AV,10851,STOLEN VEHICLE,1669316535000,"[-122.1803686, 37.7684184]",6075991,2106619,C,30X,CCD6,11/24/22  7:02:15 PM,1669332120000,30,5,3
1644534,LOP221124000635,521 LA PRENDA DR,LA PRENDA DR,10851,STOLEN VEHICLE,1669316734000,"[-122.1755786, 37.7300233]",6077125,2092616,C,31Z,CCD7,11/24/22  7:05:34 PM,1669352177000,31,5,3
1644535,LOP221124000636,CENTENNIAL DR&GRIZZLY PEAK BLVD,DR&GRIZZLY PEAK BLVD,901,VEHICLE COLLISION/PR,1669316770000,"[-122.2458164, 37.8830083]",6057855,2148683,C,13Y,CCD1,11/24/22  7:06:10 PM,1669318349000,13,2,1
1644536,LOP221124000637,2571 35TH AV,35TH AV,415F,415 FAMILY,1669316868000,"[-122.2106716, 37.7878831]",6067363,2113864,C,24Y,CCD4,11/24/22  7:07:48 PM,1669340005000,24,4,2
1644537,LOP221124000638,2388 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,912,SUSPICIOUS PERSON,1669316929000,"[-122.2722843, 37.8141666]",6049743,2123764,C,06X,CCD3,11/24/22  7:08:49 PM,1669316930000,6,1,1
1644538,LOP221124000639,9229 PLYMOUTH ST,PLYMOUTH ST,415CU,DISTURBANCE-CUSTOMER,1669317002000,"[-122.1704239, 37.7499531]",6078745,2099845,C,34X,CCD7,11/24/22  7:10:02 PM,1669317664000,34,5,3
1644539,LOP221124000640,1500 MYRTLE ST,MYRTLE ST,242,BATTERY,1669317115000,"[-122.2815974, 37.8093759]",6047020,2122071,C,05X,CCD3,11/24/22  7:11:55 PM,1669320747000,5,1,1
1644540,LOP221124000641,6316 HEATHER RIDGE WY,HEATHER RIDGE WY,459,BURGLARY,1669317232000,"[-122.208493, 37.8463386]",6068381,2135134,C,13Y,CCD4,11/24/22  7:13:52 PM,1669317233000,13,2,1
