OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1769712,LOP230613000987,170 HEGENBERGER RD,HEGENBERGER RD,911C,911 HANG UP FROM CP,1686682913000,"[-122.199584, 37.7306491]",6070188,2092969,C,31Y,CCD7,06/13/23  7:01:53 PM,1686688532000,31,5,3
1769713,LOP230613000988,2506 PARKER AV,PARKER AV,WELCK,WELFARE CHECK -- CHE,1686682952000,"[-122.173258, 37.763048]",6078011,2104627,C,30Y,CCD6,06/13/23  7:02:32 PM,1686685887000,30,5,3
1769714,LOP230613000989,3838 TURQUOISE WY,TURQUOISE WY,945A,AMBULANCE REQUESTED,1686683112000,"[-122.2656728, 37.8285024]",6051751,2128947,C,08X,CCD1,06/13/23  7:05:12 PM,1686683179000,8,2,1
1769715,LOP230613000990,2250 BROADWAY,BROADWAY,911C,911 HANG UP FROM CP,1686683145000,"[-122.2666561, 37.811474]",6051350,2122753,C,08X,CCD3,06/13/23  7:05:45 PM,1686683148000,8,2,1
1769716,LOP230613000991,84TH AV&BIRCH ST,AV&BIRCH ST,HAZ,HAZARDOUS SITUATION/,1686683208000,"[-122.172871, 37.7567716]",6078082,2102340,C,34X,CCD6,06/13/23  7:06:48 PM,1686687378000,34,5,3
1769717,LOP230613000992,7000 COLISEUM WY,COLISEUM WY,415C,415 UNKNOWN,1686683257000,"[-122.2054967, 37.7516921]",6068618,2100661,C,31X,CCD7,06/13/23  7:07:37 PM,1686686700000,31,5,3
1769718,LOP230613000993,1243 42ND AV,42ND AV,10851,STOLEN VEHICLE,1686683286000,"[-122.2171597, 37.7722501]",6065384,2108207,C,23X,CCD5,06/13/23  7:08:06 PM,1686687513000,23,4,2
1769719,LOP230613000994,1110 CHESTER ST,CHESTER ST,911C,911 HANG UP FROM CP,1686683366000,"[-122.2946681, 37.8091256]",6043243,2122052,C,02Y,CCD3,06/13/23  7:09:26 PM,1686683521000,2,1,1
1769720,LOP230613000995,3020 INTERNATIONAL BLVD,INTERNATIONAL BLVD,943,FIGHT,1686683487000,"[-122.2277611, 37.7785942]",6062363,2110573,A,20X,CCD5,06/13/23  7:11:27 PM,1686684987000,20,3,2
1769721,LOP230613000996,1243 42ND AV,42ND AV,R10851,RECOVERED STOLEN VEH,1686683509000,"[-122.2171597, 37.7722501]",6065384,2108207,C,23X,CCD5,06/13/23  7:11:49 PM,1686701041000,23,4,2
