OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1711926,LOP230423001092,5345 FOOTHILL BLVD,FOOTHILL BLVD,911C,911 HANG UP FROM CP,1682281275000,"[-122.1998063, 37.7725758]",6070401,2108234,C,27X,CCD4,04/23/23  8:21:15 PM,1682281276000,27,4,3
1711927,LOP230423001168,7615 MACARTHUR BLVD,MACARTHUR BLVD,415SS,415 SHOT SPOTTER GUN,1682285564000,"[-122.1697733, 37.7674867]",6079047,2106225,C,30Y,CCD6,04/23/23  9:32:44 PM,1682287352000,30,5,3
1712149,LOP230423001000,888 VERMONT ST,VERMONT ST,911C,911 HANG UP FROM CP,1682276815000,"[-122.2438971, 37.8149413]",6057947,2123892,C,14Y,CCD2,04/23/23  7:06:55 PM,1682280053000,14,2,2
1712150,LOP230423000998,2227 SAN PABLO AV,SAN PABLO AV,911N,POLICE RELATED MATTE,1682276759000,"[-122.2740864, 37.8127853]",6049213,2123271,C,07X,CCD3,04/23/23  7:05:59 PM,1682276760000,7,1,1
1712151,LOP230423000999,HANOVER AV&LAKESHORE AV,AV&LAKESHORE AV,23103,RECKLESS DRIVING,1682276764000,"[-122.254001, 37.8025105]",6054944,2119421,C,15X,CCD2,04/23/23  7:06:04 PM,1682277269000,15,3,2
1712152,LOP230423001001,1221 OAK ST,OAK ST,594,VANDALISM,1682276878000,"[-122.263711, 37.7998661]",6052121,2118511,C,03X,CCD2,04/23/23  7:07:58 PM,1682276878000,3,1,1
1712153,LOP230423001002,59TH ST&ADELINE ST,ST&ADELINE ST,415G,GANG DISTRUBING THE,1682276894000,"[-122.2734584, 37.8438941]",6049609,2134593,C,10Y,CCD1,04/23/23  7:08:14 PM,1682283509000,10,2,1
1712154,LOP230423001005,5650 BALMORAL DR,BALMORAL DR,911C,911 HANG UP FROM CP,1682276965000,"[-122.1644804, 37.7995038]",6080784,2117854,C,25Y,CCD6,04/23/23  7:09:25 PM,1682276965000,25,4,2
1712155,LOP230423001004,1211 E 34TH ST,E 34TH ST,415E,LOUD MUSIC,1682276957000,"[-122.2343945, 37.8031603]",6060612,2119552,C,17Y,CCD2,04/23/23  7:09:17 PM,1682277651000,17,3,2
1712156,LOP230423001007,2025 BROADWAY,BROADWAY,417,BRANDISH A WEAPON,1682277050000,"[-122.2681526, 37.8093255]",6050903,2121979,C,04X,CCD3,04/23/23  7:10:50 PM,1682282387000,4,1,1
1712157,LOP230423001006,833 ERIE ST,ERIE ST,WELCK,WELFARE CHECK -- CHE,1682277015000,"[-122.2427368, 37.812566]",6058266,2123021,C,14Y,CCD2,04/23/23  7:10:15 PM,1682281738000,14,2,2
