OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1992014,LOP240301001059,5599 COUNTRY CLUB DR,COUNTRY CLUB DR,WELCK,WELFARE CHECK -- CHE,1709319926000,"[-122.2418967, 37.8406533]",6058699,2133242,C,13X,CCD1,03/01/24  7:05:26 PM,1709327129000,13,2,1
1992015,LOP240301001058,5TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,459AU,AUTO BURGLARY,1709319889000,"[-122.2538517, 37.7957501]",6054941,2116959,C,19X,CCD2,03/01/24  7:04:49 PM,1709319889000,19,3,2
1992016,LOP240301001060,385 14TH ST,14TH ST,WELCK,WELFARE CHECK -- CHE,1709320002000,"[-122.2696517, 37.8036611]",6050431,2119925,C,03X,CCD2,03/01/24  7:06:42 PM,1709328601000,3,1,1
1992017,LOP240301001061,1444 1ST AVENUE PL,1ST AVENUE PL,MSDIAL,MISDIAL,1709320222000,"[-122.256568, 37.7987806]",6054177,2118077,C,19X,CCD2,03/01/24  7:10:22 PM,1709320222000,19,3,2
1992018,LOP240301001062,1921 26TH AV,26TH AV,277,DEPRIVE CUSTODY RIGH,1709320255000,"[-122.2288741, 37.7847802]",6062083,2112831,P,21X,CCD5,03/01/24  7:10:55 PM,1709320255000,21,3,2
1992019,LOP240301001063,3625 CALAFIA AV,CALAFIA AV,242,BATTERY,1709320267000,"[-122.147531, 37.7563896]",6085404,2102071,C,35Y,CCD7,03/01/24  7:11:07 PM,1709332918000,35,5,3
1992020,LOP240301001064,3717 TELEGRAPH AV,TELEGRAPH AV,933R,ALARM-RINGER,1709320302000,"[-122.2654071, 37.8259217]",6051810,2128006,C,08X,CCD3,03/01/24  7:11:42 PM,1709335574000,8,2,1
1992021,LOP240301001065,2846 BURTON DR,BURTON DR,HAZ,HAZARDOUS SITUATION/,1709320378000,"[-122.1876946, 37.8272403]",6074260,2128072,C,13Z,CCD4,03/01/24  7:12:58 PM,1709320378000,13,2,1
1992022,LOP240301001066,5499 KALES AV,KALES AV,945A,AMBULANCE REQUESTED,1709320398000,"[-122.2494291, 37.8416433]",6056531,2133643,C,12Y,CCD1,03/01/24  7:13:18 PM,1709320398000,12,2,1
1992023,LOP240301001067,2800 MACARTHUR BLVD,MACARTHUR BLVD,SECCK,SECURITY CHECK,1709320590000,"[-122.2087263, 37.7985578]",6067996,2117740,C,22Y,CCD4,03/01/24  7:16:30 PM,1709322165000,22,3,2
