OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1911195,LOP231223000957,5987 TELEGRAPH AV,TELEGRAPH AV,905,ABANDONED AUTOMOBILE,1703358347000,"[-122.2611291, 37.8463036]",6053185,2135403,C,11X,CCD1,12/23/23  7:05:47 PM,1703361936000,11,2,1
1911196,LOP231223000958,3921 WALNUT ST,WALNUT ST,929,FIRE,1703358353000,"[-122.2058623, 37.7850934]",6068734,2112823,C,24Y,CCD4,12/23/23  7:05:53 PM,1703358353000,24,4,2
1911197,LOP231223000959,7341 LOCKWOOD ST,LOCKWOOD ST,970B,AUTO BLOCKING DRIVEW,1703358390000,"[-122.1811197, 37.7627713]",6075737,2104567,P,30X,CCD6,12/23/23  7:06:30 PM,1703358390000,30,5,3
1911198,LOP231223000960,CHABOT RD&GOLDEN GATE AV,RD&GOLDEN GATE AV,SECCK,SECURITY CHECK,1703358392000,"[-122.2399814, 37.8509985]",6059322,2136998,C,12Y,CCD1,12/23/23  7:06:32 PM,1703359367000,12,2,1
1911199,LOP231223000961,7101 EDGEWATER DR,EDGEWATER DR,INFO,BEAT INFORMATION,1703358517000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,12/23/23  7:08:37 PM,1703358517000,31,5,3
1911200,LOP231223000962,1346 92ND AV,92ND AV,415C,415 UNKNOWN,1703358572000,"[-122.1744839, 37.7480523]",6077559,2099174,C,33X,CCD7,12/23/23  7:09:32 PM,1703386537000,33,5,3
1911201,LOP231223000963,3301 E 12TH ST,E 12TH ST,415C,415 UNKNOWN,1703358609000,"[-122.225122, 37.7761223]",6063109,2109659,C,23X,CCD5,12/23/23  7:10:09 PM,1703375587000,23,4,2
1911202,LOP231223000964,2112 FRUITVALE AV,FRUITVALE AV,911C,911 HANG UP FROM CP,1703358710000,"[-122.2224383, 37.7844046]",6063940,2112660,C,21Y,CCD5,12/23/23  7:11:50 PM,1703358710000,21,3,2
1911203,LOP231223000965,6814 HAWLEY ST,HAWLEY ST,R10851,RECOVERED STOLEN VEH,1703358762000,"[-122.1964622, 37.7566074]",6071262,2102403,C,26Y,CCD7,12/23/23  7:12:42 PM,1703360911000,26,4,3
1911204,LOP231223000966,1009 66TH AV,66TH AV,933SA,ALARM-SCHOOL ALARM,1703358824000,"[-122.1983569, 37.758827]",6070729,2103221,C,26Y,CCD6,12/23/23  7:13:44 PM,1703358872000,26,4,3
