OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1713264,LOP230424000989,4200 MACARTHUR BLVD,MACARTHUR BLVD,11500,DRUG DEALING,1682362965000,"[-122.195807, 37.7885318]",6071662,2114022,C,25X,CCD4,04/24/23  7:02:45 PM,1682363486000,25,4,2
1713265,LOP230424000990,1424B 90TH AV,90TH AV,911C,911 HANG UP FROM CP,1682363039000,"[-122.1740572, 37.7496872]",6077693,2099767,C,34X,CCD7,04/24/23  7:03:59 PM,1682389085000,34,5,3
1713266,LOP230424000992,98TH AV&BANCROFT AV,AV&BANCROFT AV,HAZ,HAZARDOUS SITUATION/,1682363093000,"[-122.1619683, 37.7483614]",6081179,2099222,C,32Y,CCD7,04/24/23  7:04:53 PM,1682370334000,32,5,3
1713267,LOP230424000993,1438 15TH AV,15TH AV,415F,415 FAMILY,1682363104000,"[-122.244893, 37.7892577]",6057485,2114547,C,19X,CCD2,04/24/23  7:05:04 PM,1682379339000,19,3,2
1713269,LOP230424000996,CHABOT RD&COLLEGE AV,RD&COLLEGE AV,459AU,AUTO BURGLARY,1682363165000,"[-122.2520557, 37.8471172]",6055810,2135650,C,12Y,CCD1,04/24/23  7:06:05 PM,1682366211000,12,2,1
1713270,LOP230424000994,1527 69TH AV,69TH AV,945A,AMBULANCE REQUESTED,1682363122000,"[-122.1892127, 37.7615651]",6073390,2104170,C,30X,CCD6,04/24/23  7:05:22 PM,1682363122000,30,5,3
1713271,LOP230424000995,4868 CALAVARAS AV,CALAVARAS AV,314,INDECENT EXPOSURE,1682363158000,"[-122.1842268, 37.7844458]",6074981,2112474,C,25X,CCD4,04/24/23  7:05:58 PM,1682385704000,25,4,2
1713272,LOP230424000998,COLLEGE AV&SHAFTER AV,AV&SHAFTER AV,911C,911 HANG UP FROM CP,1682363236000,"[-122.2517469, 37.8440179]",6055878,2134520,C,12Y,CCD1,04/24/23  7:07:16 PM,1682363237000,12,2,1
1713273,LOP230424001001,1108 INTERNATIONAL BLVD,INTERNATIONAL BLVD,245,ASSAULT W/DEADLY WEA,1682363317000,"[-122.2487382, 37.7913048]",6056388,2115313,C,19X,CCD2,04/24/23  7:08:37 PM,1682386538000,19,3,2
1713274,LOP230424001000,455 7TH ST,7TH ST,459,BURGLARY,1682363299000,"[-122.2743715, 37.7995112]",6049039,2118440,C,03Y,CCD3,04/24/23  7:08:19 PM,1682363442000,3,1,1
1713275,LOP230424000999,COOLIDGE AV&EB I580,AV&EB I580,HAZ,HAZARDOUS SITUATION/,1682363267000,"[-122.2107562, 37.796515]",6067396,2117007,C,21Y,CCD4,04/24/23  7:07:47 PM,1682363270000,21,3,2
