OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1686237,LOP230122000829,1 AIRPORT DR,AIRPORT DR,911C,911 HANG UP FROM CP,1674414158000,"[-122.2102693, 37.7166148]",6067005,2087916,C,31X,CCD7,01/22/23  7:02:38 PM,1674414158000,31,5,3
1686238,LOP230122000830,2520 E 12TH ST,E 12TH ST,245,ASSAULT W/DEADLY WEA,1674414205000,"[-122.2344496, 37.7810697]",6060447,2111510,C,20X,CCD5,01/22/23  7:03:25 PM,1674435021000,20,3,2
1686239,LOP230122000831,84TH AV&BANCROFT AV,AV&BANCROFT AV,20002,HIT & RUN (PROPERTY,1674414479000,"[-122.1694028, 37.7583919]",6079095,2102912,C,34X,CCD6,01/22/23  7:07:59 PM,1674414783000,34,5,3
1686240,LOP230122000832,3814 39TH AV,39TH AV,945A,AMBULANCE REQUESTED,1674414554000,"[-122.1944083, 37.7916997]",6072087,2115168,C,25X,CCD4,01/22/23  7:09:14 PM,1674414554000,25,4,2
1686241,LOP230122000833,3142 MARTIN LUTHER KING JR WY,MARTIN LUTHER KING JR WY,415C,415 UNKNOWN,1674414605000,"[-122.2705807, 37.820985]",6050282,2126237,C,06X,CCD3,01/22/23  7:10:05 PM,1674432743000,6,1,1
1686242,LOP230122000838,8TH ST&CHESTER ST,ST&CHESTER ST,SECCK,SECURITY CHECK,1674414730000,"[-122.2956528, 37.8066082]",6042941,2121141,I,02Y,CCD3,01/22/23  7:12:10 PM,1674414730000,2,1,1
1686243,LOP230122000835,719 37TH ST,37TH ST,912,SUSPICIOUS PERSON,1674414709000,"[-122.2704916, 37.8265432]",6050346,2128260,C,06X,CCD1,01/22/23  7:11:49 PM,1674433259000,6,1,1
1686244,LOP230122000834,2025 BROADWAY,BROADWAY,911C,911 HANG UP FROM CP,1674414699000,"[-122.2681526, 37.8093255]",6050903,2121979,C,04X,CCD3,01/22/23  7:11:39 PM,1674416506000,4,1,1
1686245,LOP230122000837,547 8TH ST,8TH ST,911H,911 HANG-UP,1674414729000,"[-122.2761396, 37.8010667]",6048539,2119016,C,03Y,CCD3,01/22/23  7:12:09 PM,1674430108000,3,1,1
1686246,LOP230122000836,4325 TERRABELLA WY,TERRABELLA WY,243E,BATTERY ON CO-HABITA,1674414717000,"[-122.1799141, 37.7968238]",6076308,2116958,C,22Y,CCD4,01/22/23  7:11:57 PM,1674435998000,22,3,2
1686247,LOP230122000839,4500 GILBERT ST,GILBERT ST,945A,AMBULANCE REQUESTED,1674414748000,"[-122.2509256, 37.8329907]",6056040,2130501,C,09X,CCD1,01/22/23  7:12:28 PM,1674414806000,9,2,1
