OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1908850,LOP231221001021,9801 MACARTHUR BLVD,MACARTHUR BLVD,MSDIAL,MISDIAL,1703185613000,"[-122.1588695, 37.7497839]",6082084,2099724,C,32Y,CCD7,12/21/23  7:06:53 PM,1703185613000,32,5,3
1908851,LOP231221001022,2800 MOUNTAIN BLVD,MOUNTAIN BLVD,SECCK,SECURITY CHECK,1703185735000,"[-122.1990461, 37.8122613]",6070883,2122678,C,22X,CCD4,12/21/23  7:08:55 PM,1703192567000,22,3,2
1908852,LOP231221001026,1103 EMBARCADERO,EMBARCADERO,929,FIRE,1703185961000,"[-122.2518678, 37.7882478]",6055463,2114217,C,19X,CCD2,12/21/23  7:12:41 PM,1703186024000,19,3,2
1908853,LOP231221001027,1103 EMBARCADERO,EMBARCADERO,GAS,GAS LEAK,1703185970000,"[-122.2518678, 37.7882478]",6055463,2114217,C,19X,CCD2,12/21/23  7:12:50 PM,1703185971000,19,3,2
1908854,LOP231221001025,3RD ST&BROADWAY,ST&BROADWAY,459AU,AUTO BURGLARY,1703185940000,"[-122.2759291, 37.7967519]",6048570,2117444,C,01X,CCD3,12/21/23  7:12:20 PM,1703185949000,1,1,1
1908856,LOP231221001030,1500 INTERNATIONAL BLVD,INTERNATIONAL BLVD,SECCK,SECURITY CHECK,1703186156000,"[-122.2451813, 37.7890062]",6057400,2114457,C,19X,CCD2,12/21/23  7:15:56 PM,1703194531000,19,3,2
1908857,LOP231221001032,2000 FRANKLIN ST,FRANKLIN ST,5150,MENTALLY ILL,1703186212000,"[-122.2669582, 37.8086018]",6051243,2121709,C,04X,CCD3,12/21/23  7:16:52 PM,1703186402000,4,1,1
1908858,LOP231221001031,255 8TH AV,8TH AV,945A,AMBULANCE REQUESTED,1703186205000,"[-122.2585975, 37.7888838]",6053523,2114485,C,19X,CCD2,12/21/23  7:16:45 PM,1703186210000,19,3,2
1908859,LOP231221001033,308 JACKSON ST,JACKSON ST,484LP,STOLEN LICENSE PLATE,1703186355000,"[-122.2698758, 37.7944724]",6050303,2116581,C,01X,CCD3,12/21/23  7:19:15 PM,1703187309000,1,1,1
1908860,LOP231221001034,2250 BROADWAY,BROADWAY,911C,911 HANG UP FROM CP,1703186406000,"[-122.2666561, 37.811474]",6051350,2122753,C,08X,CCD3,12/21/23  7:20:06 PM,1703186406000,8,2,1
