OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1737172,LOP230515001154,2248 HAVENSCOURT BLVD,HAVENSCOURT BLVD,597,CRUELTY TO ANIMAL,1684184608000,"[-122.1886591, 37.7649132]",6073572,2105386,C,30X,CCD6,05/15/23  9:03:28 PM,1684240608000,30,5,3
1737173,LOP230515001170,4133 PIEDMONT AV,PIEDMONT AV,459AU,AUTO BURGLARY,1684185217000,"[-122.251975, 37.8268278]",6055695,2128263,C,09X,CCD1,05/15/23  9:13:37 PM,1684185217000,9,2,1
1737174,LOP230515001169,2464 26TH AV,26TH AV,945A,AMBULANCE REQUESTED,1684185209000,"[-122.2244981, 37.7893462]",6063378,2114470,C,21X,CCD5,05/15/23  9:13:29 PM,1684185209000,21,3,2
1737287,LOP230515001004,855 32ND ST,32ND ST,945A,AMBULANCE REQUESTED,1684177677000,"[-122.2747081, 37.8221371]",6049098,2126679,C,06X,CCD3,05/15/23  7:07:57 PM,1684177677000,6,1,1
1737288,LOP230515001005,7200 BANCROFT AV,BANCROFT AV,415TH,415 THREATS,1684177726000,"[-122.1776995, 37.7665254]",6076750,2105916,C,30Y,CCD6,05/15/23  7:08:46 PM,1684199844000,30,5,3
1737290,LOP230515001007,8TH ST&BROADWAY,ST&BROADWAY,5150,MENTALLY ILL,1684177905000,"[-122.2737752, 37.8001986]",6049216,2118687,C,03Y,CCD3,05/15/23  7:11:45 PM,1684196618000,3,1,1
1737291,LOP230515001008,1811 14TH AV,14TH AV,211,ROBBERY,1684177906000,"[-122.242624, 37.792126]",6058160,2115579,C,17X,CCD2,05/15/23  7:11:46 PM,1684195222000,17,3,2
1737292,LOP230515001010,1411 E 31ST ST,E 31ST ST,911C,911 HANG UP FROM CP,1684177949000,"[-122.2311758, 37.7991891]",6061515,2118089,C,17Y,CCD2,05/15/23  7:12:29 PM,1684181589000,17,3,2
1737293,LOP230515001009,36TH ST&WEST ST,ST&WEST ST,R10851,RECOVERED STOLEN VEH,1684177943000,"[-122.2721635, 37.8256418]",6049857,2127941,C,06X,CCD1,05/15/23  7:12:23 PM,1684209339000,6,1,1
1737294,LOP230515001011,1411 E 31ST ST,E 31ST ST,415C,415 UNKNOWN,1684178048000,"[-122.2311758, 37.7991891]",6061515,2118089,C,17Y,CCD2,05/15/23  7:14:08 PM,1684178355000,17,3,2
1737295,LOP230515001012,8980 EARHART DR,EARHART DR,911H,911 HANG-UP,1684178062000,"[-122.2082142, 37.729203]",6067683,2092488,C,31X,CCD7,05/15/23  7:14:22 PM,1684178071000,31,5,3
