OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1701048,LOP230203001194,742 45TH AV,45TH AV,911C,911 HANG UP FROM CP,1675454823000,"[-122.2184175, 37.7672409]",6064987,2106390,C,26X,CCD5,02/03/23  8:07:03 PM,1675454824000,26,4,3
1701049,LOP230203001305,1207 60TH AV,60TH AV,MSDIAL,MISDIAL,1675463743000,"[-122.2020155, 37.7623725]",6069695,2104531,C,26Y,CCD6,02/03/23 10:35:43 PM,1675463743000,26,4,3
1701507,LOP230203001118,2990 E 9TH ST,E 9TH ST,415CU,DISTURBANCE-CUSTOMER,1675450949000,"[-122.2329111, 37.7757938]",6060856,2109581,C,20X,CCD5,02/03/23  7:02:29 PM,1675477116000,20,3,2
1701508,LOP230203001121,2825 INTERNATIONAL BLVD,INTERNATIONAL BLVD,913,SUICIDE,1675451302000,"[-122.2298174, 37.7796628]",6061776,2110973,C,20X,CCD5,02/03/23  7:08:22 PM,1675459572000,20,3,2
1701509,LOP230203001122,23RD ST&WEBSTER ST,ST&WEBSTER ST,459AU,AUTO BURGLARY,1675451319000,"[-122.2652695, 37.8119837]",6051754,2122931,C,08X,CCD3,02/03/23  7:08:39 PM,1675451323000,8,2,1
1701510,LOP230203001124,285 HEGENBERGER RD,HEGENBERGER RD,211,ROBBERY,1675451416000,"[-122.1984661, 37.7331868]",6070528,2093887,C,31X,CCD7,02/03/23  7:10:16 PM,1675454693000,31,5,3
1701511,LOP230203001123,1474 7TH ST,7TH ST,BTNFO,BEAT INFORMATION,1675451376000,"[-122.2954633, 37.8055014]",6042988,2120737,A,02Y,CCD3,02/03/23  7:09:36 PM,1675452706000,2,1,1
1701512,LOP230203001125,6929 FOOTHILL BLVD,FOOTHILL BLVD,911C,911 HANG UP FROM CP,1675451434000,"[-122.175511, 37.7695176]",6077402,2106994,C,30Y,CCD6,02/03/23  7:10:34 PM,1675451440000,30,5,3
1701513,LOP230203001126,610 HEGENBERGER RD,HEGENBERGER RD,415GS,415 GUNSHOTS,1675451476000,"[-122.1958864, 37.7459334]",6071358,2098514,C,31Y,CCD7,02/03/23  7:11:16 PM,1675470813000,31,5,3
1701514,LOP230203001127,2112 FRUITVALE AV,FRUITVALE AV,911C,911 HANG UP FROM CP,1675451497000,"[-122.2224383, 37.7844046]",6063940,2112660,C,21Y,CCD5,02/03/23  7:11:37 PM,1675451500000,21,3,2
1701515,LOP230203001128,2509 MARKET ST,MARKET ST,415SS,415 SHOT SPOTTER GUN,1675451526000,"[-122.2778844, 37.8168291]",6048144,2124764,A,07X,CCD3,02/03/23  7:12:06 PM,1675451822000,7,1,1
