OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
1768620,LOP230612000984,136 12TH ST,12TH ST,911C,911 HANG UP FROM CP,1686596598000,"[-122.2645885, 37.8000837]",6051869,2118595,C,03X,CCD2,06/12/23  7:03:18 PM,1686596599000,3,1,1
1768621,LOP230612000986,8TH ST&CAMPBELL ST,ST&CAMPBELL ST,SECCK,SECURITY CHECK,1686596658000,"[-122.2989495, 37.8073601]",6041994,2121433,C,02Y,CCD3,06/12/23  7:04:18 PM,1686598841000,2,1,1
1768622,LOP230612000989,HEGENBERGER RD&INTERNATIONAL BLVD,RD&INTERNATIONAL BLVD,976,CAR STOP,1686596723000,"[-122.1870445, 37.759179]",6074001,2103290,C,26Y,CCD7,06/12/23  7:05:23 PM,1686599863000,26,4,3
1768623,LOP230612000990,75TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,976,CAR STOP,1686596880000,"[-122.1856138, 37.7584881]",6074410,2103031,C,26Y,CCD7,06/12/23  7:08:00 PM,1686601750000,26,4,3
1768624,LOP230612000991,1678 10TH ST,10TH ST,SECCK,SECURITY CHECK,1686597006000,"[-122.2984837, 37.8095674]",6042144,2122234,C,02Y,CCD3,06/12/23  7:10:06 PM,1686602859000,2,1,1
1768625,LOP230612000992,137 MONTECITO AV,MONTECITO AV,970B,AUTO BLOCKING DRIVEW,1686597113000,"[-122.2598438, 37.8116775]",6053319,2122790,C,14X,CCD3,06/12/23  7:11:53 PM,1686615705000,14,2,2
1768626,LOP230612000993,64TH AV&MACARTHUR BLVD,AV&MACARTHUR BLVD,918,PERSON SCREAMING,1686597142000,"[-122.1797252, 37.7739349]",6076213,2108624,C,29X,CCD6,06/12/23  7:12:22 PM,1686597495000,29,5,3
1768627,LOP230612000995,578 W GRAND AV,W GRAND AV,459,BURGLARY,1686597179000,"[-122.2705073, 37.812103]",6050242,2123003,C,08X,CCD3,06/12/23  7:12:59 PM,1686597799000,8,2,1
1768628,LOP230612000996,8108 EARL ST,EARL ST,10851,STOLEN VEHICLE,1686597201000,"[-122.1549858, 37.7683188]",6083326,2106452,C,30Y,CCD7,06/12/23  7:13:21 PM,1686611233000,30,5,3
1768629,LOP230612000994,64TH AV&CAMDEN ST,AV&CAMDEN ST,245,ASSAULT W/DEADLY WEA,1686597163000,"[-122.1820156, 37.7723888]",6075541,2108073,C,29X,CCD6,06/12/23  7:12:43 PM,1686600056000,29,5,3
